ID;Geslacht;Geboorteplaats;Regio;Bewoners_1
0;Totaal mannen en vrouwen;Totale bevolking;Nederland;7935565
1;Totaal mannen en vrouwen;Totale bevolking;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totale bevolking;Friesland;399659
3;Totaal mannen en vrouwen;Totale bevolking;Drenthe;222432
4;Totaal mannen en vrouwen;Totale bevolking;Overijssel;520788
5;Totaal mannen en vrouwen;Totale bevolking;Gelderland;829293
6;Totaal mannen en vrouwen;Totale bevolking;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totale bevolking;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totale bevolking;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totale bevolking;Zeeland;247606
10;Totaal mannen en vrouwen;Totale bevolking;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totale bevolking;Limburg;550840
12;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totale bevolking;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totale bevolking;Amsterdam;757386
22;Totaal mannen en vrouwen;Totale bevolking;Rotterdam;586952
23;Totaal mannen en vrouwen;Totale bevolking;'s-Gravenhage;437675
24;Totaal mannen en vrouwen;Totale bevolking;Utrecht;154882
