ID;RegioS;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;VerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;Nederland;1995 1e kwartaal;28.9;;;30734;;;89792;2760
1;Nederland;1995 2e kwartaal;29.3;1.4;;37054;20.6;;92094;3412
2;Nederland;1995 3e kwartaal;30.0;2.3;;40498;9.3;;95819;3880
3;Nederland;1995 4e kwartaal;30.4;1.4;;46282;14.3;;95892;4438
4;Nederland;1995;29.6;;;154568;;;93750;14491
5;Nederland;1996 1e kwartaal;31.2;2.5;7.8;35669;-22.9;16.1;97224;3468
6;Nederland;1996 2e kwartaal;32.1;3.1;9.6;43810;22.8;18.2;100280;4393
7;Nederland;1996 3e kwartaal;33.1;3.2;10.5;46582;6.3;15.0;104754;4880
8;Nederland;1996 4e kwartaal;34.0;2.5;11.7;49690;6.7;7.4;106508;5292
9;Nederland;1996;32.6;10.0;10.0;175751;13.7;13.7;102607;18033
10;Nederland;1997 1e kwartaal;34.9;2.7;11.9;35763;-28.0;0.3;107138;3832
11;Nederland;1997 2e kwartaal;35.9;2.8;11.6;47160;31.9;7.6;110934;5232
12;Nederland;1997 3e kwartaal;36.9;2.8;11.3;49619;5.2;6.5;115563;5734
13;Nederland;1997 4e kwartaal;37.7;2.3;11.1;53092;7.0;6.8;116960;6210
14;Nederland;1997;36.3;11.5;11.5;185634;5.6;5.6;113163;21007
15;Nederland;1998 1e kwartaal;38.5;1.9;10.3;38128;-28.2;6.6;118873;4532
16;Nederland;1998 2e kwartaal;39.5;2.6;10.0;47410;24.3;0.5;121358;5754
17;Nederland;1998 3e kwartaal;40.8;3.3;10.6;51153;7.9;3.1;127361;6515
18;Nederland;1998 4e kwartaal;41.9;2.6;11.0;55931;9.3;5.3;128521;7188
19;Nederland;1998;40.1;10.5;10.5;192622;3.8;3.8;124540;23989
20;Nederland;1999 1e kwartaal;43.4;3.6;12.8;42223;-24.5;10.7;131800;5565
21;Nederland;1999 2e kwartaal;45.3;4.4;14.8;50211;18.9;5.9;139546;7007
22;Nederland;1999 3e kwartaal;47.6;5.1;16.7;55575;10.7;8.6;148759;8267
23;Nederland;1999 4e kwartaal;49.7;4.4;18.8;56529;1.7;1.1;155204;8774
24;Nederland;1999;46.5;15.8;15.8;204538;6.2;6.2;144778;29613
25;Nederland;2000 1e kwartaal;51.8;4.3;19.5;39643;-29.9;-6.1;159365;6318
26;Nederland;2000 2e kwartaal;53.8;3.8;18.9;47098;18.8;-6.2;167599;7894
27;Nederland;2000 3e kwartaal;56.0;4.1;17.7;48794;3.6;-12.2;177486;8660
28;Nederland;2000 4e kwartaal;57.3;2.3;15.4;53823;10.3;-4.8;180360;9707
29;Nederland;2000;54.8;17.8;17.8;189358;-7.4;-7.4;172050;32579
30;Nederland;2001 1e kwartaal;58.9;2.8;13.7;37729;-29.9;-4.8;180341;6804
31;Nederland;2001 2e kwartaal;60.4;2.5;12.2;48191;27.7;2.3;186614;8993
32;Nederland;2001 3e kwartaal;61.8;2.4;10.3;52498;8.9;7.6;191524;10055
33;Nederland;2001 4e kwartaal;62.4;0.9;8.8;57319;9.2;6.5;192334;11024
34;Nederland;2001;60.9;11.2;11.2;195737;3.4;3.4;188397;36876
35;Nederland;2002 1e kwartaal;63.4;1.6;7.5;44377;-22.6;17.6;194834;8646
36;Nederland;2002 2e kwartaal;64.4;1.6;6.7;48081;8.3;-0.2;198713;9554
37;Nederland;2002 3e kwartaal;65.5;1.7;5.9;52597;9.4;0.2;203432;10700
38;Nederland;2002 4e kwartaal;65.4;-0.2;4.8;53331;1.4;-7.0;201154;10728
39;Nederland;2002;64.7;6.2;6.2;198386;1.4;1.4;199752;39628
40;Nederland;2003 1e kwartaal;66.1;1.1;4.4;39587;-25.8;-10.8;200535;7939
41;Nederland;2003 2e kwartaal;66.8;0.9;3.7;46278;16.9;-3.8;203216;9404
42;Nederland;2003 3e kwartaal;67.4;0.9;2.9;50365;8.8;-4.2;205078;10329
43;Nederland;2003 4e kwartaal;68.0;1.0;4.1;57176;13.5;7.2;208888;11943
44;Nederland;2003;67.1;3.7;3.7;193406;-2.5;-2.5;204829;39615
45;Nederland;2004 1e kwartaal;68.8;1.2;4.1;39251;-31.4;-0.8;208625;8189
46;Nederland;2004 2e kwartaal;69.6;1.0;4.2;47946;22.2;3.6;212346;10181
47;Nederland;2004 3e kwartaal;70.5;1.4;4.7;50427;5.2;0.1;217298;10958
48;Nederland;2004 4e kwartaal;70.7;0.3;4.0;54317;7.7;-5.0;211771;11503
49;Nederland;2004;69.9;4.2;4.2;191941;-0.8;-0.8;212723;40830
50;Nederland;2005 1e kwartaal;71.4;1.0;3.8;41210;-24.1;5.0;215695;8889
51;Nederland;2005 2e kwartaal;72.3;1.2;4.0;50592;22.8;5.5;220225;11142
52;Nederland;2005 3e kwartaal;73.2;1.2;3.8;55728;10.2;10.5;226905;12645
53;Nederland;2005 4e kwartaal;73.6;0.6;4.0;59099;6.0;8.8;225757;13342
54;Nederland;2005;72.6;3.9;3.9;206629;7.7;7.7;222706;46017
55;Nederland;2006 1e kwartaal;74.7;1.4;4.5;47519;-19.6;15.3;229580;10909
56;Nederland;2006 2e kwartaal;75.6;1.2;4.5;53203;12.0;5.2;234316;12466
57;Nederland;2006 3e kwartaal;76.5;1.3;4.6;53882;1.3;-3.3;241045;12988
58;Nederland;2006 4e kwartaal;76.9;0.5;4.5;55163;2.4;-6.7;237631;13108
59;Nederland;2006;75.9;4.5;4.5;209767;1.5;1.5;235843;49472
60;Nederland;2007 1e kwartaal;77.8;1.1;4.2;45255;-18.0;-4.8;242522;10975
61;Nederland;2007 2e kwartaal;78.7;1.2;4.2;50423;11.4;-5.2;245955;12402
62;Nederland;2007 3e kwartaal;80.0;1.6;4.5;52161;3.4;-3.2;253679;13232
63;Nederland;2007 4e kwartaal;80.2;0.3;4.3;54562;4.6;-1.1;250208;13652
64;Nederland;2007;79.2;4.3;4.3;202401;-3.5;-3.5;248325;50261
65;Nederland;2008 1e kwartaal;81.2;1.2;4.4;40971;-24.9;-9.5;253376;10381
66;Nederland;2008 2e kwartaal;81.4;0.3;3.5;48014;17.2;-4.8;253527;12173
67;Nederland;2008 3e kwartaal;82.4;1.1;3.0;48440;0.9;-7.1;259425;12567
68;Nederland;2008 4e kwartaal;81.7;-0.8;1.9;44967;-7.2;-17.6;252950;11374
69;Nederland;2008;81.7;3.2;3.2;182392;-9.9;-9.9;254918;46495
70;Nederland;2009 1e kwartaal;81.1;-0.8;-0.2;27218;-39.5;-33.6;247692;6742
71;Nederland;2009 2e kwartaal;79.2;-2.4;-2.8;30269;11.2;-37.0;235495;7128
72;Nederland;2009 3e kwartaal;78.2;-1.2;-5.0;33234;9.8;-31.4;233608;7764
73;Nederland;2009 4e kwartaal;77.7;-0.7;-4.9;36811;10.8;-18.1;237755;8752
74;Nederland;2009;79.1;-3.2;-3.2;127532;-30.1;-30.1;238259;30386
75;Nederland;2010 1e kwartaal;77.5;-0.2;-4.4;27745;-24.6;1.9;236712;6568
76;Nederland;2010 2e kwartaal;77.7;0.2;-1.9;31891;14.9;5.4;240001;7654
77;Nederland;2010 3e kwartaal;77.8;0.1;-0.6;32398;1.6;-2.5;244424;7919
78;Nederland;2010 4e kwartaal;76.9;-1.1;-1.0;34093;5.2;-7.4;236733;8071
79;Nederland;2010;77.5;-2.0;-2.0;126127;-1.1;-1.1;239530;30211
80;Nederland;2011 1e kwartaal;76.6;-0.5;-1.2;28358;-16.8;2.2;240132;6810
