ID;Bronnen;Emissies;Perioden;EmissiesNederlandsGrondgebied_1
0;"Mobiele bronnen; totaal";Kooldioxide (CO2);1990;34600.0
1;"Mobiele bronnen; totaal";Kooldioxide (CO2);1991;34500.0
2;"Mobiele bronnen; totaal";Kooldioxide (CO2);1992;35700.0
3;"Mobiele bronnen; totaal";Kooldioxide (CO2);1993;35800.0
4;"Mobiele bronnen; totaal";Kooldioxide (CO2);1994;36400.0
5;"Mobiele bronnen; totaal";Kooldioxide (CO2);1995;36600.0
6;"Mobiele bronnen; totaal";Kooldioxide (CO2);1996;37000.0
7;"Mobiele bronnen; totaal";Kooldioxide (CO2);1997;38100.0
8;"Mobiele bronnen; totaal";Kooldioxide (CO2);1998;38700.0
9;"Mobiele bronnen; totaal";Kooldioxide (CO2);1999;40400.0
10;"Mobiele bronnen; totaal";Kooldioxide (CO2);2000;40700.0
11;"Mobiele bronnen; totaal";Kooldioxide (CO2);2001;41200.0
12;"Mobiele bronnen; totaal";Kooldioxide (CO2);2002;41400.0
13;"Mobiele bronnen; totaal";Kooldioxide (CO2);2003;41900.0
14;"Mobiele bronnen; totaal";Kooldioxide (CO2);2004;42600.0
15;"Mobiele bronnen; totaal";Kooldioxide (CO2);2005;42100.0
16;"Mobiele bronnen; totaal";Kooldioxide (CO2);2006;42200.0
17;"Mobiele bronnen; totaal";Kooldioxide (CO2);2007;41800.0
18;"Mobiele bronnen; totaal";Kooldioxide (CO2);2008;41500.0
19;"Mobiele bronnen; totaal";Kooldioxide (CO2);2009;40500.0
20;"Mobiele bronnen; totaal";Kooldioxide (CO2);2010;40500.0
21;"Mobiele bronnen; totaal";Kooldioxide (CO2);2011;40700.0
22;"Mobiele bronnen; totaal";Kooldioxide (CO2);2012;39800.0
23;"Mobiele bronnen; totaal";Kooldioxide (CO2);2013;38700.0
24;"Mobiele bronnen; totaal";Kooldioxide (CO2);2014;39000.0
25;"Mobiele bronnen; totaal";Kooldioxide (CO2);2015;39800.0
26;"Mobiele bronnen; totaal";Kooldioxide (CO2);2016;40300.0
27;"Mobiele bronnen; totaal";Kooldioxide (CO2);2017;40400.0
28;"Mobiele bronnen; totaal";Kooldioxide (CO2);2018;41200.0
29;"Mobiele bronnen; totaal";Kooldioxide (CO2);2019;41100.0
30;"Mobiele bronnen; totaal";Kooldioxide (CO2);2020;37600.0
31;"Mobiele bronnen; totaal";Kooldioxide (CO2);2021;38100.0
32;"Mobiele bronnen; totaal";Koolmonoxide (CO);1990;833.0
33;"Mobiele bronnen; totaal";Koolmonoxide (CO);1991;735.33
34;"Mobiele bronnen; totaal";Koolmonoxide (CO);1992;708.84
35;"Mobiele bronnen; totaal";Koolmonoxide (CO);1993;660.73
36;"Mobiele bronnen; totaal";Koolmonoxide (CO);1994;626.4
37;"Mobiele bronnen; totaal";Koolmonoxide (CO);1995;604.13
38;"Mobiele bronnen; totaal";Koolmonoxide (CO);1996;587.16
39;"Mobiele bronnen; totaal";Koolmonoxide (CO);1997;561.25
40;"Mobiele bronnen; totaal";Koolmonoxide (CO);1998;538.76
41;"Mobiele bronnen; totaal";Koolmonoxide (CO);1999;529.83
42;"Mobiele bronnen; totaal";Koolmonoxide (CO);2000;509.66
43;"Mobiele bronnen; totaal";Koolmonoxide (CO);2001;505.48
44;"Mobiele bronnen; totaal";Koolmonoxide (CO);2002;505.37
45;"Mobiele bronnen; totaal";Koolmonoxide (CO);2003;505.73
46;"Mobiele bronnen; totaal";Koolmonoxide (CO);2004;505.26
47;"Mobiele bronnen; totaal";Koolmonoxide (CO);2005;487.39
48;"Mobiele bronnen; totaal";Koolmonoxide (CO);2006;477.35
49;"Mobiele bronnen; totaal";Koolmonoxide (CO);2007;472.97
50;"Mobiele bronnen; totaal";Koolmonoxide (CO);2008;460.63
51;"Mobiele bronnen; totaal";Koolmonoxide (CO);2009;449.73
52;"Mobiele bronnen; totaal";Koolmonoxide (CO);2010;439.97
53;"Mobiele bronnen; totaal";Koolmonoxide (CO);2011;430.67
54;"Mobiele bronnen; totaal";Koolmonoxide (CO);2012;413.85
55;"Mobiele bronnen; totaal";Koolmonoxide (CO);2013;401.54
56;"Mobiele bronnen; totaal";Koolmonoxide (CO);2014;388.15
57;"Mobiele bronnen; totaal";Koolmonoxide (CO);2015;382.81
