ID;RegioSSituatie2011;Perioden;TotaalHuishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5;TotaalHuishoudens_6;Eenpersoonshuishoudens_7;Paren_8;Eenouderhuishoudens_9;OverigeHuishoudens_10;TotaalHuishoudens_11;Eenpersoonshuishoudens_12;Paren_13;Eenouderhuishoudens_14;OverigeHuishoudens_15;TotaalHuishoudens_16;Eenpersoonshuishoudens_17;Paren_18;Eenouderhuishoudens_19;OverigeHuishoudens_20;RegionaleCodering_21
0;Nederland;2012;7509.3;2742.7;4210.4;502.8;53.4;5943.3;2085.8;3501.6;330.9;25.1;791.6;319.2;341.2;115.2;16.0;774.4;337.7;367.6;56.8;12.3;NL01  
1;Nederland;2013;7571.6;2780.7;4227.1;510.2;53.6;5970.1;2106.2;3505.4;333.7;24.9;814.8;329.7;350.4;118.4;16.2;786.7;344.8;371.3;58.1;12.5;NL01  
2;Nederland;2014;7631.4;2817.9;4243.1;516.5;53.9;5995.1;2126.8;3508.1;335.5;24.8;838.2;339.9;360.1;121.7;16.4;798.1;351.2;374.9;59.4;12.7;NL01  
3;Nederland;2015;7688.4;2854.1;4258.2;522.0;54.1;6018.4;2147.1;3509.9;336.8;24.7;861.4;350.0;370.1;124.7;16.6;808.5;357.0;378.2;60.5;12.8;NL01  
4;Nederland;2016;7743.6;2890.0;4272.4;526.8;54.4;6040.6;2167.2;3511.1;337.6;24.7;884.7;360.3;380.0;127.6;16.8;818.3;362.6;381.2;61.6;12.9;NL01  
5;Nederland;2017;7797.9;2926.7;4285.7;530.8;54.7;6062.4;2188.3;3511.5;337.9;24.7;908.0;370.6;390.1;130.3;17.0;827.6;367.8;384.2;62.6;13.0;NL01  
6;Nederland;2018;7851.8;2964.3;4298.3;534.2;55.1;6083.8;2210.3;3511.0;337.7;24.9;931.7;381.2;400.4;132.9;17.2;836.2;372.8;386.9;63.5;13.0;NL01  
7;Nederland;2019;7905.4;3002.9;4309.9;537.1;55.5;6105.6;2233.7;3509.6;337.2;25.0;955.4;391.8;410.7;135.4;17.4;844.4;377.4;389.5;64.5;13.0;NL01  
8;Nederland;2020;7958.2;3041.6;4320.7;540.0;55.9;6126.9;2257.3;3507.5;336.9;25.3;979.1;402.4;421.2;137.8;17.6;852.3;381.9;392.0;65.3;13.0;NL01  
9;Nederland;2021;8009.9;3080.6;4330.4;542.5;56.3;6147.1;2280.7;3504.6;336.3;25.5;1003.1;413.5;431.7;140.0;17.9;859.7;386.4;394.2;66.2;13.0;NL01  
10;Nederland;2022;8059.8;3119.7;4339.2;544.3;56.8;6165.9;2304.6;3500.4;335.2;25.7;1027.0;424.4;442.4;142.1;18.1;867.0;390.7;396.4;66.9;13.0;NL01  
11;Nederland;2023;8107.4;3158.2;4346.6;545.5;57.1;6182.6;2327.9;3494.9;333.9;25.9;1051.1;435.3;453.4;144.1;18.3;873.7;394.9;398.3;67.6;13.0;NL01  
12;Nederland;2024;8152.2;3195.7;4352.5;546.5;57.5;6197.5;2350.9;3488.3;332.3;26.1;1074.8;446.1;464.3;146.0;18.5;879.9;398.8;400.0;68.2;12.9;NL01  
13;Nederland;2025;8193.9;3232.4;4356.8;547.0;57.8;6209.5;2372.8;3479.9;330.5;26.3;1098.5;456.8;475.2;147.8;18.6;885.9;402.7;401.6;68.7;12.8;NL01  
14;Nederland;2026;8232.4;3268.0;4359.1;547.3;58.0;6218.7;2393.6;3470.0;328.7;26.4;1122.2;467.8;486.2;149.4;18.8;891.5;406.6;402.9;69.3;12.8;NL01  
15;Nederland;2027;8268.0;3302.7;4359.5;547.6;58.2;6225.6;2414.1;3458.0;326.8;26.6;1145.6;478.4;497.3;151.0;19.0;896.8;410.2;404.2;69.7;12.7;NL01  
16;Nederland;2028;8300.6;3336.6;4357.8;547.7;58.5;6229.6;2433.6;3444.3;325.0;26.7;1169.0;489.1;508.3;152.5;19.1;902.0;413.9;405.2;70.2;12.6;NL01  
17;Nederland;2029;8330.0;3369.3;4354.2;547.8;58.7;6231.4;2452.3;3429.0;323.3;26.9;1191.8;499.6;519.1;153.9;19.2;906.7;417.4;406.1;70.6;12.6;NL01  
18;Nederland;2030;8356.1;3400.5;4348.7;548.0;58.9;6230.4;2469.8;3411.8;321.7;27.1;1214.3;509.7;530.0;155.3;19.3;911.4;420.9;407.0;71.0;12.5;NL01  
19;Nederland;2031;8379.0;3429.9;4341.6;548.4;59.1;6226.3;2485.6;3393.0;320.4;27.3;1236.7;519.9;540.9;156.5;19.4;916.1;424.4;407.7;71.5;12.4;NL01  
20;Nederland;2032;8398.8;3457.9;4333.1;548.5;59.4;6219.8;2500.5;3372.8;319.0;27.5;1258.5;529.5;551.8;157.7;19.5;920.6;427.8;408.5;71.9;12.4;NL01  
21;Nederland;2033;8415.8;3484.2;4323.3;548.8;59.6;6210.8;2513.9;3351.5;317.7;27.7;1280.0;539.1;562.5;158.8;19.6;925.0;431.3;409.3;72.2;12.3;NL01  
22;Nederland;2034;8430.2;3508.7;4312.6;549.1;59.8;6199.8;2525.6;3329.6;316.7;27.9;1301.0;548.5;573.0;159.9;19.6;929.4;434.6;410.0;72.6;12.2;NL01  
23;Nederland;2035;8442.5;3531.8;4301.0;549.6;60.0;6186.9;2536.2;3306.8;315.8;28.2;1321.6;557.7;583.4;160.8;19.7;933.9;438.0;410.9;72.9;12.2;NL01  
24;Nederland;2036;8452.7;3553.1;4288.9;550.4;60.3;6172.3;2545.1;3283.4;315.3;28.4;1341.9;566.7;593.6;161.8;19.7;938.6;441.3;411.8;73.3;12.1;NL01  
25;Nederland;2037;8461.0;3573.0;4276.4;551.1;60.5;6156.0;2553.0;3259.7;314.6;28.6;1361.7;575.4;603.7;162.8;19.8;943.3;444.6;412.9;73.7;12.1;NL01  
26;Nederland;2038;8467.7;3591.3;4263.7;551.9;60.8;6138.5;2559.5;3235.9;314.2;28.9;1381.0;584.0;613.6;163.6;19.8;948.2;447.9;414.1;74.1;12.1;NL01  
27;Nederland;2039;8473.1;3608.2;4251.1;552.7;61.0;6120.1;2564.6;3212.5;313.9;29.1;1399.9;592.5;623.2;164.4;19.8;953.0;451.2;415.3;74.4;12.1;NL01  
