ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
0;Total sex;Total personal characteristics;2000;12750;8043;7798;246.0;4706.0;63.1;61.2;3.1;6863.0;5952.0;911.0;876.0;59.0;1430.0;1656.0;4709.0;3.0;37.0;1017.0;1313.0;1325.0;923.0;954.0;139.0;747.0;484.0;633.0;226.0
1;Total sex;Total personal characteristics;2001;12848;8115;7892;223.0;4733.0;63.2;61.4;2.7;6996.0;6136.0;859.0;849.0;47.0;1442.0;1707.0;4740.0;3.0;40.0;1005.0;1335.0;1373.0;964.0;985.0;123.0;776.0;494.0;688.0;109.0
2;Total sex;Total personal characteristics;2002;12936;8203;7942;261.0;4733.0;63.4;61.4;3.2;7019.0;6170.0;849.0;874.0;48.0;1500.0;1814.0;4611.0;16.0;37.0;983.0;1411.0;1392.0;937.0;1004.0;122.0;765.0;479.0;700.0;111.0
3;Total sex;Total personal characteristics;2003;13004;8272;7912;360.0;4733.0;63.6;60.8;4.3;6983.0;6170.0;813.0;885.0;43.0;1494.0;1877.0;4524.0;17.0;35.0;989.0;1399.0;1448.0;920.0;1008.0;123.0;710.0;474.0;685.0;120.0
4;Total sex;Total personal characteristics;2004;13062;8286;7864;422.0;4776.0;63.4;60.2;5.1;6912.0;6056.0;856.0;910.0;42.0;1530.0;1871.0;4443.0;20.0;37.0;751.0;1509.0;1431.0;981.0;1091.0;121.0;730.0;504.0;680.0;30.0
5;Total sex;Total personal characteristics;2005;13114;8308;7877;432.0;4805.0;63.4;60.1;5.2;6897.0;5993.0;904.0;936.0;44.0;1566.0;1915.0;4378.0;17.0;37.0;778.0;1488.0;1389.0;990.0;1083.0;112.0;740.0;463.0;721.0;75.0
6;Total sex;Total personal characteristics;2006;13165;8403;8036;366.0;4762.0;63.8;61.0;4.4;6992.0;6016.0;977.0;998.0;46.0;1570.0;1971.0;4469.0;26.0;37.0;859.0;1496.0;1397.0;971.0;1118.0;123.0;724.0;465.0;753.0;94.0
7;Total sex;15-24 yrs;2000;1873;1327;1246;81.0;546.0;70.8;66.5;6.1;1209.0;776.0;432.0;32.0;6.0;538.0;186.0;522.0;;8.0;28.0;60.0;138.0;193.0;292.0;42.0;136.0;67.0;214.0;71.0
8;Total sex;15-24 yrs;2001;1888;1341;1262;79.0;547.0;71.0;66.8;5.9;1223.0;805.0;418.0;35.0;4.0;533.0;205.0;524.0;;12.0;32.0;64.0;151.0;191.0;307.0;44.0;139.0;66.0;238.0;18.0
9;Total sex;15-24 yrs;2002;1907;1353;1272;81.0;554.0;70.9;66.7;6.0;1234.0;805.0;429.0;33.0;5.0;562.0;218.0;487.0;4.0;10.0;22.0;61.0;155.0;186.0;344.0;37.0;129.0;59.0;247.0;21.0
10;Total sex;15-24 yrs;2003;1921;1352;1246;106.0;569.0;70.4;64.9;7.8;1210.0;799.0;411.0;30.0;6.0;559.0;221.0;461.0;5.0;9.0;27.0;64.0;145.0;187.0;333.0;42.0;115.0;59.0;248.0;17.0
11;Total sex;15-24 yrs;2004;1929;1342;1218;123.0;587.0;69.6;63.2;9.2;1177.0;743.0;434.0;37.0;5.0;572.0;206.0;434.0;6.0;10.0;24.0;62.0;135.0;165.0;347.0;39.0;112.0;61.0;260.0;4.0
12;Total sex;15-24 yrs;2005;1938;1327;1200;127.0;611.0;68.5;61.9;9.5;1161.0;703.0;457.0;35.0;4.0;585.0;202.0;407.0;6.0;10.0;20.0;63.0;131.0;167.0;334.0;37.0;112.0;51.0;267.0;9.0
13;Total sex;15-24 yrs;2006;1950;1349;1246;103.0;601.0;69.2;63.9;7.6;1195.0;690.0;505.0;44.0;7.0;613.0;201.0;420.0;12.0;12.0;25.0;63.0;133.0;169.0;352.0;39.0;108.0;47.0;286.0;11.0
14;Total sex;25-34 yrs;2000;2449;2141;2087;54.0;309.0;87.4;85.2;2.5;1920.0;1760.0;160.0;156.0;11.0;206.0;419.0;1462.0;;10.0;244.0;378.0;427.0;249.0;244.0;29.0;211.0;136.0;113.0;46.0
