ID;Leeftijd;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
0;Totaal alle leeftijden;Prognose;2013;16777640;8306202;8471438
1;Totaal alle leeftijden;Prognose;2014;16824134;8329329;8494806
2;Totaal alle leeftijden;Prognose;2015;16870650;8352474;8518177
3;Totaal alle leeftijden;Prognose;2016;16920184;8377063;8543121
4;Totaal alle leeftijden;Prognose;2017;16973054;8403375;8569679
5;Totaal alle leeftijden;Prognose;2018;17030172;8431999;8598172
6;Totaal alle leeftijden;Prognose;2019;17086318;8460261;8626056
7;Totaal alle leeftijden;Prognose;2020;17141012;8487581;8653432
8;Totaal alle leeftijden;Prognose;2021;17193872;8513772;8680100
9;Totaal alle leeftijden;Prognose;2022;17245102;8538985;8706118
10;Totaal alle leeftijden;Prognose;2023;17294380;8563096;8731284
11;Totaal alle leeftijden;Prognose;2024;17342382;8586457;8755925
12;Totaal alle leeftijden;Prognose;2025;17389100;8609065;8780036
13;Totaal alle leeftijden;Prognose;2026;17434090;8630670;8803420
14;Totaal alle leeftijden;Prognose;2027;17477138;8651178;8825959
15;Totaal alle leeftijden;Prognose;2028;17518146;8670549;8847596
16;Totaal alle leeftijden;Prognose;2029;17557028;8688747;8868281
17;Totaal alle leeftijden;Prognose;2030;17593754;8705762;8887992
18;Totaal alle leeftijden;Prognose;2031;17628128;8721486;8906642
19;Totaal alle leeftijden;Prognose;2032;17659966;8735850;8924116
20;Totaal alle leeftijden;Prognose;2033;17689138;8748753;8940385
21;Totaal alle leeftijden;Prognose;2034;17715584;8760158;8955427
22;Totaal alle leeftijden;Prognose;2035;17739186;8769983;8969202
23;Totaal alle leeftijden;Prognose;2036;17759880;8778222;8981658
24;Totaal alle leeftijden;Prognose;2037;17777756;8784926;8992829
25;Totaal alle leeftijden;Prognose;2038;17792878;8790107;9002770
26;Totaal alle leeftijden;Prognose;2039;17805424;8793933;9011491
27;Totaal alle leeftijden;Prognose;2040;17815632;8796465;9019168
28;Totaal alle leeftijden;Prognose;2041;17823830;8797940;9025890
29;Totaal alle leeftijden;Prognose;2042;17830258;8798482;9031775
30;Totaal alle leeftijden;Prognose;2043;17835170;8798257;9036914
31;Totaal alle leeftijden;Prognose;2044;17838934;8797421;9041514
32;Totaal alle leeftijden;Prognose;2045;17841838;8796151;9045688
33;Totaal alle leeftijden;Prognose;2046;17844216;8794607;9049610
34;Totaal alle leeftijden;Prognose;2047;17846338;8792946;9053393
35;Totaal alle leeftijden;Prognose;2048;17848480;8791338;9057141
36;Totaal alle leeftijden;Prognose;2049;17850686;8789824;9060862
37;Totaal alle leeftijden;Prognose;2050;17853024;8788463;9064561
38;Totaal alle leeftijden;Prognose;2051;17855524;8787299;9068225
39;Totaal alle leeftijden;Prognose;2052;17858260;8786403;9071857
40;Totaal alle leeftijden;Prognose;2053;17861258;8785805;9075454
41;Totaal alle leeftijden;Prognose;2054;17864636;8785576;9079059
42;Totaal alle leeftijden;Prognose;2055;17868492;8785808;9082684
43;Totaal alle leeftijden;Prognose;2056;17872916;8786531;9086385
44;Totaal alle leeftijden;Prognose;2057;17878058;8787820;9090238
45;Totaal alle leeftijden;Prognose;2058;17884010;8789711;9094298
46;Totaal alle leeftijden;Prognose;2059;17890896;8792286;9098611
47;Totaal alle leeftijden;Prognose;2060;17898882;8795605;9103276
48;Totaal alle leeftijden;Ondergrens 95%-prognose-interval;2013;16745670;8289761;8455912
49;Totaal alle leeftijden;Ondergrens 95%-prognose-interval;2014;16756795;8294570;8461851
50;Totaal alle leeftijden;Ondergrens 95%-prognose-interval;2015;16758692;8295881;8463337
51;Totaal alle leeftijden;Ondergrens 95%-prognose-interval;2016;16764982;8296325;8468231
52;Totaal alle leeftijden;Ondergrens 95%-prognose-interval;2017;16763311;8295949;8467862
