ID;RegioS;Perioden;TotaalJeugdzorgtrajectenInNatura_1;TotaalJeugdhulptrajectenInNatura_2;TotaalJeugdhulpZonderVerblijf_3;UitgevoerdDoorHetWijkOfBuurtteam_4;TotaalNietUitgevoerd_5;AmbulanteJeugdhulpOpLocatieAanbieder_6;DaghulpOpLocatieVanDeAanbieder_7;JeugdhulpInHetNetwerkVanDeJongere_8;TotaalJeugdhulpMetVerblijf_9;Pleegzorg_10;Gezinsgericht_11;GeslotenPlaatsing_12;AnderVerblijfBijJeugdhulpaanbieder_13;TotaalJeugdbeschermingstrajecten_14;TotaalOndertoezichtstelling_15;Ondertoezichtstelling_16;VoorlopigeOndertoezichtstelling_17;TotaalVoogdij_18;ReguliereVoogdij_19;VoorlopigeVoogdij_20;TijdelijkeVoogdij_21;TotaalJeugdreclasseringstrajecten_22;ToezichtEnBegeleidingGedwongenKader_23;ToezichtEnBegeleidingVrijwillig_24;IndividueleTrajectbegeleidingHardeKern_25;IndividueleTrajectbegeleidingCRIEM_26;ScholingsEnTrainingsprogramma_27;GedragsbeinvloedendeMaatregel_28;VoorbereidGedragsbeinvloedMaatregel_29
0;Nederland;30 juni 2021;386630.0;348480.0;315730.0;40330.0;275400.0;197145.0;21005.0;57250.0;32745.0;16610.0;4345.0;775.0;11020.0;32800.0;22890.0;22530.0;360.0;9905.0;9635.0;110.0;160.0;5355.0;4635.0;540.0;140.0;30.0;;;
1;Nederland;31 december 2021;388870.0;351725.0;319175.0;37965.0;281210.0;200060.0;21670.0;59480.0;32545.0;16175.0;4360.0;725.0;11285.0;32055.0;22300.0;21965.0;335.0;9760.0;9495.0;110.0;155.0;5090.0;4475.0;465.0;115.0;25.0;;;
2;Nederland;30 juni 2022;396330.0;360730.0;327650.0;39500.0;288150.0;208265.0;22035.0;57850.0;33080.0;17025.0;4350.0;685.0;11020.0;30460.0;20895.0;20635.0;260.0;9565.0;9305.0;110.0;155.0;5145.0;4500.0;500.0;105.0;25.0;;;
3;Nederland;31 december 2022;406450.0;372220.0;339295.0;40155.0;299140.0;217175.0;22640.0;59325.0;32925.0;16760.0;4450.0;710.0;11005.0;29210.0;19880.0;19515.0;360.0;9335.0;9085.0;105.0;140.0;5020.0;4345.0;505.0;135.0;25.0;;;
4;Nederland;30 juni 2023;410595.0;377495.0;344275.0;41840.0;302435.0;217835.0;24520.0;60080.0;33220.0;16425.0;4580.0;675.0;11540.0;28020.0;18975.0;18715.0;260.0;9045.0;8800.0;110.0;130.0;5080.0;4375.0;535.0;130.0;25.0;;;
5;Nederland;31 december 2023;415185.0;382610.0;349335.0;40345.0;308990.0;222730.0;24375.0;61880.0;33275.0;16000.0;4695.0;645.0;11935.0;27305.0;18535.0;18240.0;295.0;8770.0;8520.0;115.0;130.0;5265.0;4570.0;530.0;130.0;35.0;;;
6;Nederland;30 juni 2024;434805.0;402775.0;369750.0;37285.0;332460.0;241510.0;25460.0;65495.0;33025.0;15825.0;4765.0;615.0;11820.0;26475.0;18050.0;17775.0;275.0;8425.0;8190.0;110.0;130.0;5555.0;4850.0;555.0;130.0;15.0;;;
7;Noord-Nederland (LD);30 juni 2021;38750.0;34290.0;30610.0;920.0;29690.0;22490.0;1550.0;5650.0;3680.0;1645.0;640.0;40.0;1355.0;3895.0;2445.0;2420.0;25.0;1450.0;1415.0;10.0;30.0;565.0;510.0;45.0;10.0;;;;
8;Noord-Nederland (LD);31 december 2021;39000.0;34560.0;30770.0;1110.0;29660.0;22335.0;1595.0;5735.0;3790.0;1590.0;635.0;25.0;1540.0;3855.0;2405.0;2370.0;35.0;1450.0;1420.0;;25.0;585.0;520.0;45.0;15.0;;;;
9;Noord-Nederland (LD);30 juni 2022;40745.0;36465.0;32200.0;970.0;31235.0;23535.0;1680.0;6020.0;4265.0;1925.0;690.0;25.0;1620.0;3715.0;2305.0;2270.0;35.0;1415.0;1380.0;;30.0;565.0;505.0;45.0;10.0;;;;
10;Noord-Nederland (LD);31 december 2022;41000.0;36890.0;32555.0;990.0;31570.0;23720.0;1690.0;6160.0;4335.0;1905.0;740.0;10.0;1675.0;3550.0;2185.0;2160.0;25.0;1370.0;1340.0;;20.0;555.0;490.0;50.0;15.0;;;;
11;Noord-Nederland (LD);30 juni 2023;40855.0;36850.0;32860.0;1265.0;31600.0;23900.0;1605.0;6090.0;3990.0;1810.0;740.0;10.0;1425.0;3410.0;2080.0;2060.0;20.0;1330.0;1305.0;10.0;15.0;595.0;520.0;55.0;10.0;;;;
