ID;Goederensoorten;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Invoerhoeveelheid_2;Uitvoerwaarde_3;Uitvoerhoeveelheid_4;EenheidVanGoederensoort_5
0;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 januari;565.0;167.0;449.0;37.0;stuks                    
1;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 februari;1011.0;92.0;1591.0;90.0;stuks                    
2;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 maart;583.0;227.0;587.0;53.0;stuks                    
3;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 april;984.0;124.0;524.0;92.0;stuks                    
4;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 mei;681.0;218.0;138.0;60.0;stuks                    
5;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 juni;652.0;180.0;71.0;78.0;stuks                    
6;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 juli;690.0;401.0;169.0;116.0;stuks                    
7;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 augustus;702.0;277.0;545.0;76.0;stuks                    
8;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 september;1156.0;416.0;1534.0;171.0;stuks                    
9;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 oktober;791.0;597.0;2422.0;114.0;stuks                    
10;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 november;1345.0;614.0;1866.0;861.0;stuks                    
11;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008 december;1889.0;294.0;2971.0;400.0;stuks                    
12;0101101000 Fokpaarden van zuiver ras;Totaal landen;2008;11049.0;3607.0;12867.0;2148.0;stuks                    
13;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 januari;755.0;407.0;1290.0;358.0;stuks                    
14;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 februari;456.0;122.0;749.0;120.0;stuks                    
15;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 maart;437.0;2255.0;793.0;361.0;stuks                    
16;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 april;344.0;188.0;361.0;77.0;stuks                    
17;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 mei;512.0;75.0;160.0;1682.0;stuks                    
18;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 juni;871.0;148.0;441.0;117.0;stuks                    
19;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 juli;486.0;119.0;833.0;67.0;stuks                    
20;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 augustus;347.0;1383.0;1162.0;4816.0;stuks                    
21;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 september;584.0;193.0;2038.0;262.0;stuks                    
22;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 oktober;1088.0;1195.0;6082.0;3358.0;stuks                    
23;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 november;1808.0;290.0;2862.0;367.0;stuks                    
24;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009 december;1298.0;245.0;4448.0;3574.0;stuks                    
25;0101101000 Fokpaarden van zuiver ras;Totaal landen;2009;8987.0;6620.0;21221.0;15159.0;stuks                    
26;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 januari;1397.0;157.0;3631.0;117.0;stuks                    
27;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 februari;367.0;90.0;1469.0;402.0;stuks                    
28;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 maart;465.0;185.0;2180.0;907.0;stuks                    
29;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 april;1568.0;212.0;761.0;1507.0;stuks                    
30;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 mei;437.0;136.0;1645.0;2457.0;stuks                    
31;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 juni;348.0;62.0;1410.0;1873.0;stuks                    
32;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 juli;622.0;82.0;993.0;1188.0;stuks                    
33;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 augustus;727.0;80.0;2117.0;1919.0;stuks                    
34;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 september;434.0;86.0;989.0;1543.0;stuks                    
35;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 oktober;847.0;251.0;2287.0;1314.0;stuks                    
36;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 november;1008.0;3227.0;3436.0;2030.0;stuks                    
37;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010 december;1771.0;181.0;1664.0;2846.0;stuks                    
38;0101101000 Fokpaarden van zuiver ras;Totaal landen;2010;9989.0;4749.0;22581.0;18103.0;stuks                    
39;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 januari;1236.0;1000.0;6697.0;1761.0;stuks                    
40;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 februari;967.0;110.0;1677.0;2218.0;stuks                    
41;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 maart;430.0;172.0;958.0;736.0;stuks                    
42;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 april;569.0;130.0;950.0;1000.0;stuks                    
43;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 mei;679.0;110.0;1212.0;1263.0;stuks                    
44;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 juni;967.0;1755.0;1899.0;1593.0;stuks                    
45;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 juli;435.0;109.0;1294.0;1561.0;stuks                    
46;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 augustus;4806.0;5062.0;6080.0;1323.0;stuks                    
47;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 september;1157.0;11304.0;1839.0;3831.0;stuks                    
48;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 oktober;2007.0;1029.0;3189.0;2390.0;stuks                    
49;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 november;3029.0;214.0;6064.0;3634.0;stuks                    
50;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011 december;3678.0;5698.0;6663.0;997.0;stuks                    
51;0101101000 Fokpaarden van zuiver ras;Totaal landen;2011;19958.0;26693.0;38522.0;22307.0;stuks                    
52;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 januari;;;;;                         
53;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 februari;;;;;                         
54;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 maart;;;;;                         
55;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 april;;;;;                         
56;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 mei;;;;;                         
57;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 juni;;;;;                         
58;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 juli;;;;;                         
59;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 augustus;;;;;                         
60;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 september;;;;;                         
61;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 oktober;;;;;                         
62;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 november;;;;;                         
63;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012 december;;;;;                         
64;0101101000 Fokpaarden van zuiver ras;Totaal landen;2012;;;;;                         
65;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 januari;;;;;                         
66;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 februari;;;;;                         
67;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 maart;;;;;                         
68;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 april;;;;;                         
69;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 mei;;;;;                         
70;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 juni;;;;;                         
71;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 juli;;;;;                         
72;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 augustus;;;;;                         
73;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 september;;;;;                         
74;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 oktober;;;;;                         
75;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 november;;;;;                         
76;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 december;;;;;                         
77;0101101000 Fokpaarden van zuiver ras;Totaal landen;2013 ;;;;;                         
78;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 januari;;;;;                         
79;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 februari;;;;;                         
80;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 maart;;;;;                         
81;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 april;;;;;                         
82;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 mei;;;;;                         
83;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 juni;;;;;                         
84;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 juli;;;;;                         
85;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 augustus;;;;;                         
86;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 september;;;;;                         
87;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 oktober;;;;;                         
88;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 november;;;;;                         
89;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014 december;;;;;                         
90;0101101000 Fokpaarden van zuiver ras;Totaal landen;2014;;;;;                         
91;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 januari;;;;;                         
92;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 februari;;;;;                         
93;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 maart;;;;;                         
94;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 april;;;;;                         
95;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 mei;;;;;                         
96;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 juni;;;;;                         
97;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 juli;;;;;                         
98;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 augustus;;;;;                         
99;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 september;;;;;                         
100;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 oktober;;;;;                         
101;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 november;;;;;                         
102;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 december;;;;;                         
103;0101101000 Fokpaarden van zuiver ras;Totaal landen;2015 ;;;;;                         
104;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 januari;;;;;                         
105;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 februari;;;;;                         
106;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 maart;;;;;                         
107;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 april;;;;;                         
108;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 mei;;;;;                         
109;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 juni;;;;;                         
110;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 juli;;;;;                         
111;0101101000 Fokpaarden van zuiver ras;Totaal landen;2016 augustus;;;;;                         
