ID;InkomensEnVermogensbegrippen;KenmerkenVanHuishoudens;Perioden;Ginicoefficient_1;Theilcoefficient_2;RobinHoodIndex_3;Ratio8020_4;RelatieveInterkwartielafstand_5;ParticuliereHuishoudens_6;GemiddeldBedrag_7;k_25ePercentiel_8;Mediaan_9;k_75ePercentiel_10;TotaalBedrag_11;TotaalBedragTop10_12;TotaalBedragTop1_13;TotaalBedragTop01_14
0;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2011;0.546;0.587;37.1;;1.696;7347.6;31.3;3.5;25.6;47.8;229.8;76.3;18.0;5.4
1;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2012;0.551;0.596;37.6;;1.759;7412.1;31.6;3.4;25.1;48.5;234.0;78.4;18.2;5.5
2;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2013;0.555;0.599;38.0;;1.811;7467.8;31.6;3.3;24.6;48.8;235.6;79.3;18.1;5.3
3;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2014;0.566;0.63;38.7;;1.829;7496.4;33.0;3.5;24.9;49.9;247.2;87.0;22.3;6.4
4;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2015;0.556;0.604;38.1;;1.823;7568.5;32.1;3.5;24.9;49.8;243.2;81.9;18.8;5.8
5;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2016;0.555;0.599;38.0;;1.806;7623.2;33.2;3.7;25.8;51.3;253.0;85.2;19.6;6.0
6;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2017;0.554;0.599;37.8;;1.777;7694.9;34.5;4.0;27.1;53.0;265.1;89.1;21.0;6.6
7;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2018;0.549;0.591;37.4;;1.73;7760.6;35.6;4.4;28.5;54.5;276.3;92.3;22.2;7.2
8;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2019;0.556;0.635;37.5;;1.705;7827.4;38.5;4.8;30.3;57.3;301.2;104.8;29.7;11.2
9;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2020;0.55;0.599;37.5;;1.73;7894.5;38.6;4.8;30.9;59.1;304.8;102.0;25.1;8.7
10;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2021;0.548;0.596;37.2;;1.717;7951.4;40.3;5.1;32.2;61.3;320.2;107.2;26.2;9.0
11;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2022;0.544;0.587;36.8;;1.686;8041.4;43.6;5.4;35.4;66.0;350.7;116.8;29.3;10.1
12;Gestandaardiseerd primair inkomen;Particuliere huishoudens;2023;0.547;0.607;37.0;;1.692;8156.9;46.8;5.8;37.6;70.2;381.7;128.9;34.4;13.3
13;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2011;0.658;0.86;52.1;;4.7;2623.5;20.7;0.2;7.0;35.8;54.4;14.4;3.7;1.2
14;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2012;0.662;0.872;52.4;;4.673;2673.3;21.0;0.2;7.1;35.8;56.1;15.4;3.9;1.3
15;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2013;0.667;0.885;52.9;;4.689;2713.4;20.9;0.2;7.0;35.5;56.7;15.6;3.9;1.3
16;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2014;0.673;0.905;53.1;;4.648;2721.7;21.6;0.1;7.2;36.1;58.9;16.7;4.5;1.5
17;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2015;0.668;0.894;52.9;;4.571;2782.7;21.2;0.1;7.2;35.7;59.0;16.1;4.2;1.5
18;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2016;0.667;0.881;52.7;;4.58;2820.4;21.7;0.1;7.4;36.5;61.3;16.5;4.2;1.5
19;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2017;0.665;0.888;52.5;;4.626;2872.5;22.4;0.0;7.5;37.5;64.4;17.1;4.5;1.7
20;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2018;0.658;0.856;51.7;;4.588;2910.1;23.4;0.0;8.0;39.2;68.2;18.1;4.7;1.7
21;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2019;0.658;0.882;51.3;;4.536;2949.8;25.2;0.0;8.5;41.2;74.2;20.2;6.0;2.4
22;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2020;0.656;0.861;51.6;;4.72;2985.9;25.4;0.0;8.4;42.5;75.8;19.8;5.4;2.1
23;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2021;0.654;0.865;51.2;;4.634;3014.0;26.5;0.0;8.9;43.8;79.8;20.9;5.9;2.3
24;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2022;0.646;0.834;50.3;;4.5;3085.0;28.7;0.0;9.9;47.3;88.7;22.5;6.4;2.5
25;Gestandaardiseerd primair inkomen;Type: Eenpersoonshuishouden;2023;0.646;0.852;50.1;;4.344;3164.0;30.8;0.1;11.0;50.2;97.5;25.1;7.6;3.3
26;Gestandaardiseerd primair inkomen;Type: Meerpersoonshuishouden;2011;0.48;0.458;32.4;;1.319;4724.0;37.1;8.6;33.0;52.9;175.4;61.9;14.3;4.1
