ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
0;Total countries;00 Live animals other than animals of...;2015 January;75.0;149.0
1;Total countries;00 Live animals other than animals of...;2015 February;70.0;146.0
2;Total countries;00 Live animals other than animals of...;2015 March;93.0;159.0
3;Total countries;00 Live animals other than animals of...;2015 April;96.0;154.0
4;Total countries;00 Live animals other than animals of...;2015 May;91.0;157.0
5;Total countries;00 Live animals other than animals of...;2015 June;117.0;158.0
6;Total countries;00 Live animals other than animals of...;2015 July;98.0;159.0
7;Total countries;00 Live animals other than animals of...;2015 August;91.0;146.0
8;Total countries;00 Live animals other than animals of...;2015 September;97.0;179.0
9;Total countries;00 Live animals other than animals of...;2015 October;92.0;158.0
10;Total countries;00 Live animals other than animals of...;2015 November;89.0;162.0
11;Total countries;00 Live animals other than animals of...;2015 December;95.0;185.0
12;Total countries;00 Live animals other than animals of...;2015;1103.0;1912.0
13;Total countries;00 Live animals other than animals of...;2016 January;84.0;159.0
14;Total countries;00 Live animals other than animals of...;2016 February;85.0;147.0
15;Total countries;00 Live animals other than animals of...;2016 March;92.0;164.0
16;Total countries;00 Live animals other than animals of...;2016 April;101.0;148.0
17;Total countries;00 Live animals other than animals of...;2016 May;94.0;153.0
18;Total countries;00 Live animals other than animals of...;2016 June;106.0;165.0
19;Total countries;00 Live animals other than animals of...;2016 July;96.0;167.0
20;Total countries;00 Live animals other than animals of...;2016 August;103.0;187.0
21;Total countries;00 Live animals other than animals of...;2016 September;108.0;187.0
22;Total countries;00 Live animals other than animals of...;2016 October;105.0;175.0
23;Total countries;00 Live animals other than animals of...;2016 November;100.0;191.0
24;Total countries;00 Live animals other than animals of...;2016 December;106.0;204.0
25;Total countries;00 Live animals other than animals of...;2016;1179.0;2046.0
26;Total countries;00 Live animals other than animals of...;2017 January;105.0;185.0
27;Total countries;00 Live animals other than animals of...;2017 February;96.0;172.0
28;Total countries;00 Live animals other than animals of...;2017 March;117.0;197.0
29;Total countries;00 Live animals other than animals of...;2017 April;97.0;171.0
30;Total countries;00 Live animals other than animals of...;2017 May;110.0;193.0
31;Total countries;00 Live animals other than animals of...;2017 June;108.0;199.0
32;Total countries;00 Live animals other than animals of...;2017 July;97.0;186.0
33;Total countries;00 Live animals other than animals of...;2017 August;104.0;203.0
34;Total countries;00 Live animals other than animals of...;2017 September;105.0;188.0
35;Total countries;00 Live animals other than animals of...;2017 October;108.0;179.0
36;Total countries;00 Live animals other than animals of...;2017 November;102.0;192.0
37;Total countries;00 Live animals other than animals of...;2017 December;99.0;196.0
38;Total countries;00 Live animals other than animals of...;2017;1247.0;2261.0
39;Total countries;00 Live animals other than animals of...;2018 January;85.0;182.0
40;Total countries;00 Live animals other than animals of...;2018 February;89.0;147.0
41;Total countries;00 Live animals other than animals of...;2018 March;107.0;174.0
42;Total countries;00 Live animals other than animals of...;2018 April;102.0;173.0
43;Total countries;00 Live animals other than animals of...;2018 May;106.0;170.0
44;Total countries;00 Live animals other than animals of...;2018 June;112.0;155.0
45;Total countries;00 Live animals other than animals of...;2018 July;98.0;154.0
46;Total countries;00 Live animals other than animals of...;2018 August;98.0;157.0
47;Total countries;00 Live animals other than animals of...;2018 September;95.0;158.0
48;Total countries;00 Live animals other than animals of...;2018 October;102.0;159.0
49;Total countries;00 Live animals other than animals of...;2018 November;103.0;176.0
50;Total countries;00 Live animals other than animals of...;2018 December;97.0;172.0
51;Total countries;00 Live animals other than animals of...;2018;1193.0;1977.0
52;Total countries;00 Live animals other than animals of...;2019 January;100.0;175.0
53;Total countries;00 Live animals other than animals of...;2019 February;93.0;151.0
54;Total countries;00 Live animals other than animals of...;2019 March;108.0;157.0
55;Total countries;00 Live animals other than animals of...;2019 April;110.0;174.0
56;Total countries;00 Live animals other than animals of...;2019 May;115.0;180.0
57;Total countries;00 Live animals other than animals of...;2019 June;104.0;164.0
58;Total countries;00 Live animals other than animals of...;2019 July;113.0;178.0
59;Total countries;00 Live animals other than animals of...;2019 August;101.0;167.0
60;Total countries;00 Live animals other than animals of...;2019 September;102.0;167.0
61;Total countries;00 Live animals other than animals of...;2019 October;112.0;185.0
62;Total countries;00 Live animals other than animals of...;2019 November;106.0;174.0
63;Total countries;00 Live animals other than animals of...;2019 December;103.0;193.0
64;Total countries;00 Live animals other than animals of...;2019;1267.0;2064.0
65;Total countries;00 Live animals other than animals of...;2020 January;101.0;189.0
66;Total countries;00 Live animals other than animals of...;2020 February;99.0;171.0
67;Total countries;00 Live animals other than animals of...;2020 March;111.0;178.0
68;Total countries;00 Live animals other than animals of...;2020 April;100.0;153.0
69;Total countries;00 Live animals other than animals of...;2020 May;83.0;135.0
70;Total countries;00 Live animals other than animals of...;2020 June;90.0;148.0
71;Total countries;00 Live animals other than animals of...;2020 July;101.0;131.0
72;Total countries;00 Live animals other than animals of...;2020 August;89.0;128.0
73;Total countries;00 Live animals other than animals of...;2020 September;98.0;140.0
74;Total countries;00 Live animals other than animals of...;2020 October;92.0;130.0
75;Total countries;00 Live animals other than animals of...;2020 November;78.0;135.0
76;Total countries;00 Live animals other than animals of...;2020 December;93.0;139.0
77;Total countries;00 Live animals other than animals of...;2020;1137.0;1776.0
78;Total countries;00 Live animals other than animals of...;2021 January;;
79;Total countries;00 Live animals other than animals of...;2021 February;;
80;Total countries;00 Live animals other than animals of...;2021 March;;
81;Total countries;00 Live animals other than animals of...;2021 April;;
82;Total countries;00 Live animals other than animals of...;2021 May;;
83;Total countries;00 Live animals other than animals of...;2021 June;;
84;Total countries;00 Live animals other than animals of...;2021 July;;
85;Total countries;00 Live animals other than animals of...;2021 August;;
86;Total countries;00 Live animals other than animals of...;2021 September;;
87;Total countries;00 Live animals other than animals of...;2021 October;;
88;Total countries;00 Live animals other than animals of...;2021 November;;
89;Total countries;00 Live animals other than animals of...;2021 December;;
90;Total countries;00 Live animals other than animals of...;2021;;
91;Total countries;00 Live animals other than animals of...;2022 January;101.0;145.0
92;Total countries;00 Live animals other than animals of...;2022 February;103.0;139.0
93;Total countries;00 Live animals other than animals of...;2022 March;132.0;148.0
94;Total countries;00 Live animals other than animals of...;2022 April;126.0;174.0
95;Total countries;00 Live animals other than animals of...;2022 May;140.0;161.0
96;Total countries;00 Live animals other than animals of...;2022 June;137.0;166.0
97;Total countries;00 Live animals other than animals of...;2022 July;121.0;137.0
98;Total countries;00 Live animals other than animals of...;2022 August;146.0;170.0
99;Total countries;00 Live animals other than animals of...;2022 September;130.0;183.0
100;Total countries;00 Live animals other than animals of...;2022 October;134.0;193.0
101;Total countries;00 Live animals other than animals of...;2022 November;136.0;174.0
102;Total countries;00 Live animals other than animals of...;2022 December;148.0;186.0
103;Total countries;00 Live animals other than animals of...;2022;1553.0;1976.0
104;Total countries;00 Live animals other than animals of...;2023 January;117.0;181.0
105;Total countries;00 Live animals other than animals of...;2023 February;124.0;175.0
106;Total countries;00 Live animals other than animals of...;2023 March;137.0;210.0
107;Total countries;00 Live animals other than animals of...;2023 April;139.0;173.0
108;Total countries;00 Live animals other than animals of...;2023 May;151.0;201.0
109;Total countries;00 Live animals other than animals of...;2023 June;148.0;211.0
110;Total countries;00 Live animals other than animals of...;2023 July;130.0;177.0
111;Total countries;00 Live animals other than animals of...;2023 August;141.0;204.0
112;Total countries;00 Live animals other than animals of...;2023 September;128.0;184.0
113;Total countries;00 Live animals other than animals of...;2023 October;147.0;189.0
114;Total countries;00 Live animals other than animals of...;2023 November;139.0;187.0
115;Total countries;00 Live animals other than animals of...;2023 December;132.0;199.0
116;Total countries;00 Live animals other than animals of...;2023;1634.0;2290.0
117;Total countries;00 Live animals other than animals of...;2024 January;117.0;188.0
118;Total countries;00 Live animals other than animals of...;2024 February;112.0;186.0
119;Total countries;00 Live animals other than animals of...;2024 March;130.0;207.0
120;Total countries;00 Live animals other than animals of...;2024 April;132.0;212.0
121;Total countries;00 Live animals other than animals of...;2024 May;134.0;195.0
122;Total countries;00 Live animals other than animals of...;2024 June;130.0;190.0
123;Total countries;00 Live animals other than animals of...;2024 July;128.0;198.0
124;Total countries;00 Live animals other than animals of...;2024 August;120.0;172.0
125;Total countries;00 Live animals other than animals of...;2024 September;126.0;188.0
126;Total countries;00 Live animals other than animals of...;2024 October;151.0;197.0
127;Total countries;00 Live animals other than animals of...;2024 November;139.0;196.0
128;Total countries;00 Live animals other than animals of...;2024 January-November;1420.0;2131.0
129;Total countries;001 Live animals other than animals o...;2015 January;75.0;149.0
130;Total countries;001 Live animals other than animals o...;2015 February;70.0;146.0
131;Total countries;001 Live animals other than animals o...;2015 March;93.0;159.0
132;Total countries;001 Live animals other than animals o...;2015 April;96.0;154.0
133;Total countries;001 Live animals other than animals o...;2015 May;91.0;157.0
134;Total countries;001 Live animals other than animals o...;2015 June;117.0;158.0
135;Total countries;001 Live animals other than animals o...;2015 July;98.0;159.0
136;Total countries;001 Live animals other than animals o...;2015 August;91.0;146.0
137;Total countries;001 Live animals other than animals o...;2015 September;97.0;179.0
138;Total countries;001 Live animals other than animals o...;2015 October;92.0;158.0
139;Total countries;001 Live animals other than animals o...;2015 November;89.0;162.0
140;Total countries;001 Live animals other than animals o...;2015 December;95.0;185.0
141;Total countries;001 Live animals other than animals o...;2015;1103.0;1912.0
142;Total countries;001 Live animals other than animals o...;2016 January;84.0;159.0
143;Total countries;001 Live animals other than animals o...;2016 February;85.0;147.0
144;Total countries;001 Live animals other than animals o...;2016 March;92.0;164.0
145;Total countries;001 Live animals other than animals o...;2016 April;101.0;148.0
146;Total countries;001 Live animals other than animals o...;2016 May;94.0;153.0
147;Total countries;001 Live animals other than animals o...;2016 June;106.0;165.0
148;Total countries;001 Live animals other than animals o...;2016 July;96.0;167.0
149;Total countries;001 Live animals other than animals o...;2016 August;103.0;187.0
150;Total countries;001 Live animals other than animals o...;2016 September;108.0;187.0
151;Total countries;001 Live animals other than animals o...;2016 October;105.0;175.0
152;Total countries;001 Live animals other than animals o...;2016 November;100.0;191.0
153;Total countries;001 Live animals other than animals o...;2016 December;106.0;204.0
154;Total countries;001 Live animals other than animals o...;2016;1179.0;2046.0
155;Total countries;001 Live animals other than animals o...;2017 January;105.0;185.0
156;Total countries;001 Live animals other than animals o...;2017 February;96.0;172.0
157;Total countries;001 Live animals other than animals o...;2017 March;117.0;197.0
158;Total countries;001 Live animals other than animals o...;2017 April;97.0;171.0
159;Total countries;001 Live animals other than animals o...;2017 May;110.0;193.0
160;Total countries;001 Live animals other than animals o...;2017 June;108.0;199.0
161;Total countries;001 Live animals other than animals o...;2017 July;97.0;186.0
162;Total countries;001 Live animals other than animals o...;2017 August;104.0;203.0
163;Total countries;001 Live animals other than animals o...;2017 September;105.0;188.0
164;Total countries;001 Live animals other than animals o...;2017 October;108.0;179.0
165;Total countries;001 Live animals other than animals o...;2017 November;102.0;192.0
166;Total countries;001 Live animals other than animals o...;2017 December;99.0;196.0
167;Total countries;001 Live animals other than animals o...;2017;1247.0;2261.0
168;Total countries;001 Live animals other than animals o...;2018 January;85.0;182.0
169;Total countries;001 Live animals other than animals o...;2018 February;89.0;147.0
170;Total countries;001 Live animals other than animals o...;2018 March;107.0;174.0
171;Total countries;001 Live animals other than animals o...;2018 April;102.0;173.0
172;Total countries;001 Live animals other than animals o...;2018 May;106.0;170.0
173;Total countries;001 Live animals other than animals o...;2018 June;112.0;155.0
174;Total countries;001 Live animals other than animals o...;2018 July;98.0;154.0
175;Total countries;001 Live animals other than animals o...;2018 August;98.0;157.0
176;Total countries;001 Live animals other than animals o...;2018 September;95.0;158.0
177;Total countries;001 Live animals other than animals o...;2018 October;102.0;159.0
178;Total countries;001 Live animals other than animals o...;2018 November;103.0;176.0
179;Total countries;001 Live animals other than animals o...;2018 December;97.0;172.0
180;Total countries;001 Live animals other than animals o...;2018;1193.0;1977.0
181;Total countries;001 Live animals other than animals o...;2019 January;100.0;175.0
182;Total countries;001 Live animals other than animals o...;2019 February;93.0;151.0
183;Total countries;001 Live animals other than animals o...;2019 March;108.0;157.0
184;Total countries;001 Live animals other than animals o...;2019 April;110.0;174.0
185;Total countries;001 Live animals other than animals o...;2019 May;115.0;180.0
186;Total countries;001 Live animals other than animals o...;2019 June;104.0;164.0
187;Total countries;001 Live animals other than animals o...;2019 July;113.0;178.0
188;Total countries;001 Live animals other than animals o...;2019 August;101.0;167.0
189;Total countries;001 Live animals other than animals o...;2019 September;102.0;167.0
190;Total countries;001 Live animals other than animals o...;2019 October;112.0;185.0
191;Total countries;001 Live animals other than animals o...;2019 November;106.0;174.0
192;Total countries;001 Live animals other than animals o...;2019 December;103.0;193.0
193;Total countries;001 Live animals other than animals o...;2019;1267.0;2064.0
194;Total countries;001 Live animals other than animals o...;2020 January;101.0;189.0
195;Total countries;001 Live animals other than animals o...;2020 February;99.0;171.0
196;Total countries;001 Live animals other than animals o...;2020 March;111.0;178.0
197;Total countries;001 Live animals other than animals o...;2020 April;100.0;153.0
198;Total countries;001 Live animals other than animals o...;2020 May;83.0;135.0
199;Total countries;001 Live animals other than animals o...;2020 June;90.0;148.0
200;Total countries;001 Live animals other than animals o...;2020 July;101.0;131.0
201;Total countries;001 Live animals other than animals o...;2020 August;89.0;128.0
202;Total countries;001 Live animals other than animals o...;2020 September;98.0;140.0
203;Total countries;001 Live animals other than animals o...;2020 October;92.0;130.0
204;Total countries;001 Live animals other than animals o...;2020 November;78.0;135.0
205;Total countries;001 Live animals other than animals o...;2020 December;93.0;139.0
206;Total countries;001 Live animals other than animals o...;2020;1137.0;1776.0
207;Total countries;001 Live animals other than animals o...;2021 January;;
208;Total countries;001 Live animals other than animals o...;2021 February;;
209;Total countries;001 Live animals other than animals o...;2021 March;;
210;Total countries;001 Live animals other than animals o...;2021 April;;
211;Total countries;001 Live animals other than animals o...;2021 May;;
212;Total countries;001 Live animals other than animals o...;2021 June;;
213;Total countries;001 Live animals other than animals o...;2021 July;;
214;Total countries;001 Live animals other than animals o...;2021 August;;
215;Total countries;001 Live animals other than animals o...;2021 September;;
216;Total countries;001 Live animals other than animals o...;2021 October;;
217;Total countries;001 Live animals other than animals o...;2021 November;;
218;Total countries;001 Live animals other than animals o...;2021 December;;
219;Total countries;001 Live animals other than animals o...;2021;;
220;Total countries;001 Live animals other than animals o...;2022 January;101.0;145.0
221;Total countries;001 Live animals other than animals o...;2022 February;103.0;139.0
222;Total countries;001 Live animals other than animals o...;2022 March;132.0;148.0
223;Total countries;001 Live animals other than animals o...;2022 April;126.0;174.0
224;Total countries;001 Live animals other than animals o...;2022 May;140.0;161.0
225;Total countries;001 Live animals other than animals o...;2022 June;137.0;166.0
226;Total countries;001 Live animals other than animals o...;2022 July;121.0;137.0
227;Total countries;001 Live animals other than animals o...;2022 August;146.0;170.0
228;Total countries;001 Live animals other than animals o...;2022 September;130.0;183.0
229;Total countries;001 Live animals other than animals o...;2022 October;134.0;193.0
230;Total countries;001 Live animals other than animals o...;2022 November;136.0;174.0
231;Total countries;001 Live animals other than animals o...;2022 December;148.0;186.0
232;Total countries;001 Live animals other than animals o...;2022;1553.0;1976.0
233;Total countries;001 Live animals other than animals o...;2023 January;117.0;181.0
234;Total countries;001 Live animals other than animals o...;2023 February;124.0;175.0
235;Total countries;001 Live animals other than animals o...;2023 March;137.0;210.0
236;Total countries;001 Live animals other than animals o...;2023 April;139.0;173.0
237;Total countries;001 Live animals other than animals o...;2023 May;151.0;201.0
238;Total countries;001 Live animals other than animals o...;2023 June;148.0;211.0
239;Total countries;001 Live animals other than animals o...;2023 July;130.0;177.0
240;Total countries;001 Live animals other than animals o...;2023 August;141.0;204.0
241;Total countries;001 Live animals other than animals o...;2023 September;128.0;184.0
242;Total countries;001 Live animals other than animals o...;2023 October;147.0;189.0
243;Total countries;001 Live animals other than animals o...;2023 November;139.0;187.0
244;Total countries;001 Live animals other than animals o...;2023 December;132.0;199.0
245;Total countries;001 Live animals other than animals o...;2023;1634.0;2290.0
246;Total countries;001 Live animals other than animals o...;2024 January;117.0;188.0
247;Total countries;001 Live animals other than animals o...;2024 February;112.0;186.0
248;Total countries;001 Live animals other than animals o...;2024 March;130.0;207.0
