ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
28;463 Wholesale of food and beverages;2012;80.9;104.4;66.9;85.2;74818.0;73988.0;49580.0;24409.0;830.0;71413.0;60156.0;4183.0;2780.0;601.0;364.0;237.0;22.0;780.0;6195.0;200.0;532.0;198.0;506.0;1400.0;83.0;1039.0;2237.0;880.0;3406.0;357.0;-43.0;94.0;3814.0
29;463 Wholesale of food and beverages;2013;81.8;105.8;67.4;86.3;75712.0;74993.0;48405.0;26588.0;719.0;71562.0;60391.0;4204.0;2759.0;646.0;386.0;260.0;19.0;779.0;6049.0;206.0;526.0;216.0;477.0;1343.0;81.0;1071.0;2129.0;919.0;4151.0;19.0;-67.0;12.0;4115.0
30;4631 Wholesale of vegetables, potatoes;2009;14.2;19.4;11.7;15.6;12124.0;12078.0;5505.0;6572.0;46.0;11869.0;10407.0;722.0;476.0;94.0;59.0;35.0;3.0;149.0;634.0;41.0;95.0;38.0;73.0;83.0;15.0;172.0;116.0;106.0;255.0;-6.0;-1.0;0.0;248.0
31;4631 Wholesale of vegetables, potatoes;2010;15.7;21.6;12.6;16.8;14463.0;14353.0;6404.0;7949.0;110.0;14032.0;12244.0;849.0;546.0;114.0;70.0;44.0;2.0;187.0;802.0;44.0;121.0;43.0;83.0;76.0;18.0;266.0;153.0;137.0;431.0;-22.0;4.0;1.0;414.0
32;4631 Wholesale of vegetables, potatoes;2011;15.1;20.7;12.0;16.3;13736.0;13586.0;6572.0;7014.0;150.0;13355.0;11625.0;804.0;507.0;106.0;66.0;40.0;3.0;189.0;795.0;44.0;110.0;40.0;79.0;74.0;16.0;294.0;139.0;131.0;381.0;-37.0;4.0;8.0;356.0
33;4631 Wholesale of vegetables, potatoes;2012;16.3;23.2;12.7;17.9;15717.0;15514.0;7892.0;7622.0;203.0;15188.0;13258.0;889.0;550.0;117.0;75.0;42.0;3.0;219.0;889.0;64.0;119.0;45.0;83.0;81.0;16.0;325.0;155.0;153.0;529.0;-22.0;-2.0;-8.0;496.0
34;4631 Wholesale of vegetables, potatoes;2013;16.6;23.6;13.4;18.8;16351.0;16269.0;8180.0;8089.0;82.0;15938.0;13996.0;918.0;575.0;131.0;81.0;49.0;3.0;209.0;894.0;58.0;121.0;38.0;89.0;79.0;16.0;318.0;175.0;131.0;413.0;-29.0;-29.0;-7.0;348.0
35;4634 Wholesale of beverages;2009;5.1;7.2;4.4;5.6;5659.0;5642.0;3161.0;2481.0;17.0;5018.0;3582.0;252.0;181.0;44.0;28.0;16.0;2.0;25.0;1009.0;6.0;43.0;5.0;23.0;413.0;7.0;70.0;443.0;174.0;641.0;190.0;0.0;1.0;832.0
36;4634 Wholesale of beverages;2010;5.3;7.5;4.4;5.8;5900.0;5880.0;3224.0;2657.0;20.0;5210.0;3704.0;266.0;193.0;43.0;25.0;18.0;3.0;28.0;1048.0;8.0;49.0;20.0;28.0;389.0;8.0;76.0;470.0;192.0;690.0;26.0;85.0;14.0;814.0
37;4634 Wholesale of beverages;2011;5.0;6.9;4.1;5.4;5946.0;5925.0;3055.0;2871.0;21.0;5149.0;3549.0;260.0;185.0;44.0;25.0;19.0;2.0;29.0;1110.0;6.0;46.0;13.0;27.0;491.0;9.0;81.0;438.0;231.0;797.0;71.0;-3.0;7.0;872.0
38;4634 Wholesale of beverages;2012;5.3;7.4;4.3;5.7;6272.0;6258.0;3103.0;3155.0;15.0;5347.0;3739.0;267.0;193.0;43.0;27.0;16.0;1.0;30.0;1124.0;7.0;49.0;12.0;29.0;557.0;9.0;84.0;377.0;216.0;926.0;354.0;-21.0;7.0;1266.0
39;4634 Wholesale of beverages;2013;5.2;7.5;4.5;6.1;6747.0;6733.0;3111.0;3622.0;14.0;5685.0;4018.0;267.0;196.0;40.0;26.0;14.0;2.0;28.0;1165.0;7.0;43.0;6.0;28.0;569.0;8.0;82.0;422.0;236.0;1062.0;137.0;-2.0;4.0;1201.0
40;4638 Wholesale of other food;2009;13.7;17.3;11.4;13.8;7819.0;7769.0;6041.0;1729.0;50.0;7460.0;5804.0;633.0;428.0;87.0;56.0;32.0;5.0;114.0;922.0;51.0;91.0;37.0;74.0;246.0;27.0;135.0;260.0;101.0;359.0;14.0;-5.0;-6.0;362.0
41;4638 Wholesale of other food;2010;15.0;19.2;11.8;14.5;8780.0;8729.0;6395.0;2333.0;52.0;8325.0;6634.0;698.0;465.0;119.0;68.0;51.0;5.0;108.0;890.0;39.0;85.0;26.0;84.0;237.0;16.0;151.0;253.0;103.0;456.0;-228.0;-6.0;168.0;391.0
42;4638 Wholesale of other food;2011;15.8;19.0;12.4;14.9;9382.0;9332.0;7146.0;2186.0;50.0;8977.0;7155.0;759.0;524.0;118.0;68.0;50.0;6.0;111.0;961.0;32.0;85.0;31.0;84.0;248.0;18.0;160.0;303.0;102.0;405.0;-30.0;-23.0;-2.0;350.0
43;4638 Wholesale of other food;2012;15.2;18.5;12.4;15.1;10117.0;10070.0;7569.0;2501.0;48.0;9708.0;7859.0;763.0;532.0;116.0;74.0;42.0;5.0;110.0;980.0;36.0;90.0;42.0;92.0;264.0;18.0;154.0;285.0;106.0;409.0;2.0;-9.0;1.0;403.0
44;4638 Wholesale of other food;2013;15.6;19.3;12.6;15.4;10001.0;9962.0;6638.0;3323.0;39.0;9571.0;7708.0;743.0;495.0;124.0;75.0;48.0;4.0;121.0;1025.0;36.0;96.0;49.0;75.0;266.0;17.0;168.0;318.0;95.0;430.0;-25.0;-2.0;13.0;416.0
45;4639 Non-specialised wholesale of food;2009;20.7;25.8;17.8;21.4;15771.0;15669.0;13944.0;1725.0;101.0;15360.0;13380.0;914.0;632.0;130.0;74.0;56.0;2.0;151.0;903.0;39.0;125.0;27.0;143.0;116.0;17.0;163.0;274.0;164.0;411.0;-7.0;-3.0;-30.0;371.0
46;4639 Non-specialised wholesale of food;2010;22.7;27.7;18.8;22.6;15877.0;15814.0;14392.0;1422.0;63.0;15327.0;13125.0;990.0;655.0;145.0;86.0;60.0;3.0;186.0;1032.0;42.0;132.0;31.0;150.0;161.0;20.0;213.0;283.0;180.0;551.0;-19.0;-13.0;5.0;524.0
