ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
78;465 Wholesale of ICT-equipment;2012;57.7;65.8;51.1;57.7;61770.0;61424.0;25247.0;36177.0;346.0;59215.0;38657.0;3891.0;2802.0;597.0;369.0;228.0;31.0;461.0;16294.0;42.0;329.0;54.0;249.0;4016.0;91.0;724.0;10790.0;372.0;2555.0;122.0;-156.0;81.0;2603.0
79;465 Wholesale of ICT-equipment;2013;57.5;64.5;51.4;57.4;62004.0;61780.0;24946.0;36834.0;224.0;58995.0;39996.0;4070.0;2905.0;702.0;374.0;328.0;25.0;438.0;14608.0;45.0;320.0;52.0;234.0;1471.0;85.0;800.0;11602.0;321.0;3009.0;73.0;-16.0;-146.0;2919.0
80;4651 Wholesale of computers and software;2009;33.4;39.8;28.9;33.4;38508.0;38376.0;29882.0;8494.0;132.0;37449.0;22235.0;2317.0;1612.0;323.0;204.0;119.0;13.0;369.0;12740.0;24.0;164.0;21.0;143.0;2997.0;63.0;286.0;9042.0;157.0;1059.0;97.0;-2.0;10.0;1164.0
81;4651 Wholesale of computers and software;2010;31.9;38.5;28.6;32.7;39869.0;39786.0;16262.0;23524.0;83.0;38426.0;22213.0;2476.0;1764.0;320.0;217.0;103.0;11.0;380.0;13529.0;24.0;169.0;22.0;141.0;558.0;71.0;297.0;12246.0;209.0;1443.0;62.0;-14.0;50.0;1541.0
82;4651 Wholesale of computers and software;2011;32.5;38.5;29.5;34.3;47762.0;47652.0;31697.0;15955.0;110.0;46055.0;29415.0;2474.0;1722.0;355.0;213.0;142.0;12.0;386.0;13969.0;22.0;168.0;29.0;150.0;1235.0;74.0;544.0;11746.0;197.0;1707.0;237.0;-1.0;11.0;1954.0
83;4651 Wholesale of computers and software;2012;32.8;37.9;28.7;32.9;49636.0;49462.0;17385.0;32078.0;174.0;47608.0;30240.0;2381.0;1676.0;359.0;214.0;145.0;15.0;331.0;14743.0;21.0;170.0;26.0;145.0;3863.0;52.0;442.0;10024.0;244.0;2028.0;154.0;-10.0;93.0;2265.0
84;4651 Wholesale of computers and software;2013;33.0;37.5;29.1;32.9;49826.0;49709.0;16800.0;32909.0;117.0;47370.0;31432.0;2508.0;1748.0;438.0;218.0;221.0;13.0;309.0;13223.0;24.0;173.0;25.0;132.0;1326.0;52.0;544.0;10949.0;207.0;2456.0;52.0;-7.0;-111.0;2390.0
85;4652 Wholesale of other electronics;2009;24.1;27.4;21.9;23.9;12093.0;12009.0;7772.0;4237.0;84.0;11769.0;8612.0;1429.0;1043.0;210.0;124.0;86.0;20.0;156.0;1508.0;61.0;142.0;19.0;100.0;235.0;39.0;288.0;625.0;220.0;325.0;-199.0;-18.0;-33.0;74.0
86;4652 Wholesale of other electronics;2010;23.7;26.6;21.9;24.1;11633.0;11481.0;7351.0;4130.0;152.0;11063.0;8151.0;1504.0;1121.0;225.0;136.0;90.0;11.0;146.0;1268.0;26.0;154.0;20.0;106.0;213.0;38.0;255.0;455.0;141.0;570.0;22.0;-66.0;-235.0;291.0
87;4652 Wholesale of other electronics;2011;24.8;28.2;20.5;23.8;12175.0;11956.0;8736.0;3220.0;220.0;11708.0;9049.0;1293.0;957.0;220.0;132.0;88.0;10.0;107.0;1257.0;18.0;154.0;16.0;114.0;194.0;47.0;230.0;485.0;110.0;467.0;-131.0;56.0;-75.0;317.0
88;4652 Wholesale of other electronics;2012;24.9;27.8;22.4;24.8;12134.0;11961.0;7862.0;4099.0;172.0;11607.0;8417.0;1510.0;1126.0;238.0;154.0;84.0;16.0;130.0;1552.0;21.0;159.0;29.0;103.0;154.0;39.0;281.0;766.0;128.0;527.0;-32.0;-145.0;-12.0;338.0
89;4652 Wholesale of other electronics;2013;24.5;26.9;22.3;24.5;12178.0;12071.0;8146.0;3925.0;107.0;11625.0;8564.0;1562.0;1157.0;264.0;157.0;107.0;12.0;129.0;1385.0;22.0;147.0;28.0;103.0;145.0;33.0;256.0;653.0;114.0;553.0;21.0;-9.0;-35.0;530.0
90;466 Wholesale of other machinery;2009;86.3;101.0;76.9;87.2;33469.0;33229.0;22312.0;10917.0;241.0;31864.0;23952.0;4240.0;3187.0;651.0;392.0;258.0;36.0;367.0;3157.0;124.0;508.0;97.0;395.0;455.0;126.0;528.0;925.0;516.0;1605.0;-172.0;-9.0;-39.0;1385.0
91;466 Wholesale of other machinery;2010;85.9;100.2;76.7;86.6;36861.0;36575.0;23940.0;12635.0;286.0;35062.0;26599.0;4477.0;3338.0;708.0;419.0;288.0;39.0;393.0;3403.0;99.0;512.0;114.0;423.0;491.0;126.0;630.0;1009.0;583.0;1799.0;-179.0;-10.0;90.0;1701.0
92;466 Wholesale of other machinery;2011;87.8;101.5;78.5;88.7;41025.0;40718.0;25962.0;14756.0;307.0;38944.0;30066.0;4711.0;3509.0;753.0;447.0;306.0;36.0;413.0;3548.0;95.0;533.0;123.0;448.0;520.0;128.0;631.0;1070.0;618.0;2081.0;-191.0;-11.0;317.0;2196.0
93;466 Wholesale of other machinery;2012;86.4;99.6;77.4;86.4;38983.0;38700.0;24152.0;14549.0;283.0;37055.0;28261.0;4655.0;3463.0;758.0;464.0;294.0;36.0;398.0;3526.0;92.0;528.0;120.0;445.0;535.0;122.0;643.0;1041.0;613.0;1928.0;-182.0;-31.0;-56.0;1659.0
94;466 Wholesale of other machinery;2013;87.2;99.2;76.7;86.9;38553.0;38285.0;23407.0;14878.0;269.0;36595.0;27924.0;4611.0;3409.0;769.0;479.0;291.0;35.0;398.0;3500.0;98.0;526.0;120.0;401.0;498.0;114.0;683.0;1061.0;561.0;1958.0;-80.0;-17.0;-45.0;1817.0
95;467 Other specialised wholesale;2009;85.7;100.7;76.0;86.1;87063.0;86603.0;51486.0;35116.0;461.0;85567.0;73382.0;4379.0;3231.0;734.0;417.0;316.0;33.0;382.0;7050.0;160.0;700.0;234.0;462.0;531.0;121.0;1001.0;3842.0;756.0;1497.0;567.0;-32.0;-8.0;2023.0
96;467 Other specialised wholesale;2010;85.1;100.0;75.2;86.4;112550.0;112042.0;67247.0;44795.0;507.0;109921.0;97231.0;4417.0;3266.0;719.0;416.0;303.0;32.0;400.0;7493.0;156.0;750.0;276.0;524.0;572.0;125.0;1238.0;3852.0;779.0;2629.0;284.0;-4.0;18.0;2926.0
97;467 Other specialised wholesale;2011;86.3;99.4;76.9;87.3;133862.0;133366.0;84171.0;49195.0;496.0;130783.0;117428.0;4664.0;3400.0;788.0;439.0;349.0;39.0;437.0;7851.0;141.0;754.0;304.0;547.0;624.0;137.0;1324.0;4021.0;840.0;3079.0;280.0;-20.0;17.0;3355.0
98;467 Other specialised wholesale;2012;85.4;98.2;75.7;85.9;142497.0;142053.0;77644.0;64409.0;444.0;140028.0;126430.0;4665.0;3415.0;813.0;467.0;346.0;29.0;409.0;8165.0;156.0;775.0;291.0;536.0;649.0;125.0;1506.0;4128.0;768.0;2469.0;632.0;-3.0;-60.0;3038.0
99;467 Other specialised wholesale;2013;82.1;94.0;72.6;82.4;128089.0;127641.0;62172.0;65468.0;449.0;125983.0;113000.0;4432.0;3261.0;787.0;470.0;318.0;25.0;359.0;7821.0;156.0;728.0;268.0;507.0;565.0;114.0;1698.0;3786.0;730.0;2106.0;703.0;-17.0;15.0;2807.0
100;4671 Wholesale of mineral oils;2009;6.0;7.2;5.4;6.0;44829.0;44741.0;22041.0;22700.0;89.0;44442.0;40438.0;479.0;336.0;87.0;35.0;52.0;2.0;54.0;3384.0;9.0;154.0;66.0;47.0;81.0;13.0;177.0;2837.0;142.0;387.0;159.0;-2.0;-44.0;501.0
101;4671 Wholesale of mineral oils;2010;6.7;7.2;5.9;6.3;65905.0;65805.0;35234.0;30571.0;101.0;65230.0;61101.0;493.0;361.0;77.0;40.0;37.0;6.0;49.0;3482.0;10.0;160.0;77.0;79.0;96.0;19.0;257.0;2784.0;154.0;675.0;12.0;14.0;4.0;706.0
102;4671 Wholesale of mineral oils;2011;6.5;7.0;5.7;6.1;82125.0;82006.0;48749.0;33257.0;118.0;81352.0;76912.0;548.0;386.0;101.0;43.0;58.0;7.0;54.0;3715.0;11.0;171.0;83.0;82.0;98.0;21.0;235.0;3016.0;178.0;772.0;347.0;-1.0;22.0;1140.0
103;4671 Wholesale of mineral oils;2012;6.7;7.3;5.8;6.4;85150.0;85062.0;43985.0;41077.0;87.0;84510.0;80145.0;549.0;382.0;113.0;52.0;61.0;2.0;53.0;3670.0;12.0;169.0;66.0;75.0;86.0;16.0;181.0;3065.0;147.0;639.0;421.0;-2.0;13.0;1072.0
104;4671 Wholesale of mineral oils;2013;6.6;7.3;5.7;6.3;74184.0;74081.0;30453.0;43628.0;103.0;73719.0;69345.0;523.0;370.0;100.0;48.0;52.0;2.0;51.0;3690.0;12.0;158.0;75.0;72.0;99.0;15.0;468.0;2792.0;162.0;464.0;205.0;0.0;-15.0;653.0
105;4672 Wholesale of metals and metal ores;2009;7.8;9.0;7.1;7.9;5158.0;5147.0;3502.0;1645.0;12.0;5142.0;4330.0;419.0;317.0;70.0;40.0;29.0;4.0;28.0;322.0;19.0;56.0;20.0;31.0;24.0;10.0;86.0;76.0;71.0;16.0;-25.0;1.0;3.0;-5.0
106;4672 Wholesale of metals and metal ores;2010;8.1;9.4;7.5;8.5;6779.0;6746.0;4368.0;2378.0;33.0;6512.0;5584.0;472.0;338.0;78.0;45.0;34.0;2.0;54.0;370.0;17.0;63.0;26.0;30.0;35.0;11.0;115.0;73.0;86.0;267.0;-19.0;4.0;4.0;257.0
107;4672 Wholesale of metals and metal ores;2011;8.8;9.9;8.0;8.9;8162.0;8127.0;5077.0;3050.0;35.0;7884.0;6873.0;510.0;366.0;89.0;49.0;40.0;2.0;53.0;413.0;19.0;65.0;31.0;35.0;43.0;11.0;126.0;83.0;89.0;278.0;-29.0;2.0;13.0;264.0
108;4672 Wholesale of metals and metal ores;2012;8.5;9.5;7.8;8.6;9251.0;9228.0;4964.0;4264.0;23.0;8995.0;8026.0;509.0;372.0;90.0;50.0;41.0;2.0;46.0;388.0;16.0;59.0;29.0;33.0;37.0;12.0;121.0;82.0;73.0;256.0;-32.0;9.0;9.0;242.0
109;4672 Wholesale of metals and metal ores;2013;8.0;9.0;7.3;8.1;7944.0;7920.0;4517.0;3403.0;24.0;7752.0;6799.0;498.0;359.0;92.0;56.0;37.0;2.0;45.0;387.0;17.0;65.0;26.0;35.0;35.0;11.0;121.0;78.0;69.0;193.0;13.0;1.0;28.0;234.0
110;4673 Wholesale of construction materials;2009;40.7;47.9;35.6;40.4;16570.0;16401.0;15077.0;1325.0;169.0;15901.0;12260.0;1910.0;1406.0;315.0;187.0;128.0;13.0;175.0;1475.0;65.0;271.0;66.0;202.0;196.0;49.0;303.0;323.0;256.0;669.0;-62.0;-33.0;-22.0;552.0
111;4673 Wholesale of construction materials;2010;39.3;46.4;34.4;39.7;15600.0;15433.0;14090.0;1343.0;167.0;15051.0;11445.0;1852.0;1358.0;307.0;183.0;124.0;11.0;176.0;1503.0;70.0;297.0;68.0;208.0;185.0;49.0;303.0;324.0;251.0;549.0;-52.0;-8.0;27.0;516.0
112;4673 Wholesale of construction materials;2011;40.0;46.3;35.4;40.6;16727.0;16605.0;15097.0;1508.0;121.0;15950.0;12281.0;1896.0;1366.0;318.0;185.0;133.0;16.0;195.0;1512.0;56.0;281.0;81.0;213.0;215.0;52.0;323.0;292.0;261.0;777.0;-74.0;-13.0;-178.0;512.0
113;4673 Wholesale of construction materials;2012;39.7;46.1;34.8;39.8;15372.0;15263.0;14022.0;1242.0;108.0;14892.0;11195.0;1888.0;1375.0;324.0;194.0;130.0;13.0;178.0;1545.0;61.0;304.0;78.0;210.0;203.0;49.0;330.0;311.0;264.0;480.0;-74.0;-5.0;-18.0;383.0
114;4673 Wholesale of construction materials;2013;36.8;42.6;32.5;37.0;14055.0;13971.0;12719.0;1251.0;85.0;13610.0;10255.0;1736.0;1275.0;308.0;187.0;121.0;10.0;143.0;1384.0;60.0;260.0;73.0;204.0;168.0;43.0;309.0;267.0;235.0;445.0;-58.0;-11.0;9.0;384.0
115;4675 Wholesale of chemical products;2009;9.6;11.4;8.6;9.5;10982.0;10865.0;4881.0;5984.0;117.0;10932.0;9176.0;618.0;455.0;106.0;62.0;44.0;6.0;50.0;1017.0;26.0;69.0;37.0;70.0;126.0;20.0;243.0;427.0;121.0;50.0;560.0;-4.0;84.0;691.0
116;4675 Wholesale of chemical products;2010;9.6;11.6;8.4;9.7;11989.0;11842.0;5673.0;6169.0;147.0;11412.0;9512.0;638.0;484.0;100.0;54.0;46.0;6.0;48.0;1154.0;20.0;76.0;47.0;81.0;134.0;19.0;273.0;504.0;109.0;577.0;332.0;-5.0;-5.0;899.0
117;4675 Wholesale of chemical products;2011;9.1;10.4;8.1;8.9;12733.0;12575.0;6555.0;6020.0;158.0;12039.0;10110.0;652.0;488.0;108.0;57.0;51.0;5.0;51.0;1170.0;16.0;70.0;48.0;80.0;146.0;20.0;358.0;433.0;107.0;695.0;75.0;1.0;189.0;960.0
118;4675 Wholesale of chemical products;2012;9.5;10.8;8.5;9.4;19587.0;19437.0;7241.0;12195.0;151.0;18916.0;16531.0;721.0;540.0;124.0;70.0;54.0;5.0;52.0;1557.0;29.0;76.0;53.0;85.0;221.0;20.0;587.0;486.0;107.0;671.0;345.0;8.0;-10.0;1013.0
119;4675 Wholesale of chemical products;2013;9.5;10.6;8.5;9.4;19646.0;19463.0;6988.0;12475.0;183.0;18906.0;16672.0;695.0;527.0;118.0;70.0;48.0;4.0;47.0;1426.0;30.0;71.0;36.0;69.0;162.0;20.0;551.0;489.0;113.0;740.0;570.0;-2.0;14.0;1322.0
120;4677 Wholesale of waste and scrap;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;4677 Wholesale of waste and scrap;2010;6.3;8.7;5.6;7.3;6602.0;6591.0;3530.0;3061.0;11.0;6263.0;5429.0;285.0;212.0;41.0;26.0;15.0;2.0;30.0;442.0;17.0;61.0;42.0;71.0;36.0;8.0;149.0;58.0;108.0;338.0;-7.0;-10.0;6.0;328.0
122;4677 Wholesale of waste and scrap;2011;6.2;8.4;5.5;7.2;7999.0;7992.0;4030.0;3961.0;8.0;7680.0;6848.0;295.0;218.0;43.0;27.0;16.0;2.0;32.0;436.0;18.0;59.0;42.0;78.0;30.0;10.0;128.0;71.0;101.0;320.0;-16.0;-7.0;4.0;301.0
123;4677 Wholesale of waste and scrap;2012;6.1;8.3;5.3;7.1;7381.0;7360.0;3105.0;4255.0;21.0;7161.0;6356.0;274.0;198.0;40.0;26.0;14.0;3.0;33.0;436.0;16.0;56.0;43.0;75.0;25.0;9.0;144.0;69.0;95.0;220.0;-19.0;-5.0;8.0;205.0
124;4677 Wholesale of waste and scrap;2013;6.1;8.3;5.3;7.2;6265.0;6249.0;2987.0;3262.0;16.0;6141.0;5423.0;269.0;190.0;43.0;28.0;15.0;3.0;34.0;372.0;18.0;58.0;39.0;69.0;20.0;7.0;103.0;58.0;77.0;124.0;-9.0;-2.0;1.0;114.0
125;469 Non-specialised wholesale;2009;9.4;12.7;7.0;9.0;3240.0;3196.0;2511.0;686.0;44.0;3067.0;2385.0;308.0;224.0;54.0;31.0;23.0;2.0;29.0;318.0;16.0;70.0;10.0;24.0;58.0;16.0;42.0;82.0;56.0;173.0;7.0;-5.0;-4.0;170.0
126;469 Non-specialised wholesale;2010;9.3;12.6;7.2;9.3;3587.0;3535.0;3111.0;424.0;52.0;3405.0;2628.0;378.0;278.0;66.0;35.0;31.0;3.0;30.0;349.0;15.0;81.0;9.0;29.0;48.0;12.0;41.0;114.0;50.0;183.0;1.0;-7.0;-5.0;172.0
127;469 Non-specialised wholesale;2011;10.7;14.3;7.8;10.0;4025.0;3920.0;3372.0;547.0;105.0;3878.0;3060.0;408.0;301.0;59.0;31.0;28.0;3.0;46.0;351.0;13.0;74.0;9.0;34.0;59.0;12.0;59.0;91.0;58.0;147.0;0.0;2.0;-1.0;149.0
128;469 Non-specialised wholesale;2012;10.1;13.5;7.2;9.3;3838.0;3781.0;3131.0;649.0;57.0;3696.0;2838.0;410.0;311.0;61.0;33.0;28.0;3.0;35.0;381.0;13.0;78.0;11.0;38.0;66.0;13.0;70.0;91.0;67.0;142.0;9.0;1.0;-22.0;130.0
129;469 Non-specialised wholesale;2013;13.3;17.4;10.4;13.4;5456.0;5372.0;4380.0;991.0;84.0;5234.0;4135.0;551.0;372.0;90.0;51.0;40.0;2.0;87.0;472.0;17.0;94.0;17.0;54.0;71.0;12.0;97.0;111.0;76.0;222.0;6.0;0.0;-11.0;217.0
