ID;Geslacht;Leeftijd;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonend_5;PartnerInNietGehuwdPaarZonderKi_6;PartnerInGehuwdPaarZonderKinderen_7;PartnerInNietGehuwdPaarMetKinderen_8;PartnerInGehuwdPaarMetKinderen_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersoonInInstitutioneelHuishouden_12;TotaalPersonenInHuishoudens_13;TotaalPersonenInParticuliereHuish_14;PersoonInEenpersoonshuishouden_15;TotaalPersonenInMeerpersoonshuisho_16;ZonderKinderen_17;MetKinderen_18;TotaalPersonenInNietGehuwdPaar_19;ZonderKinderen_20;MetKinderen_21;TotaalPersonenInGehuwdPaar_22;ZonderKinderen_23;MetKinderen_24;PersoonInEenouderhuishouden_25;PersoonInOverigHuishouden_26;PersoonInInstitutioneelHuishouden_27
0;Mannen en vrouwen;10000;1971;13119;12814;5363;685.0;6116.0;93.0;1767.0;29.0;4227.0;200.0;450;306;13119;12814;685.0;12129;2082;10047;156;97.0;59;11209;1826.0;9383;605;159;306
1;Mannen en vrouwen;10000;1972;13270;12963;5364;726.0;6226.0;97.0;1816.0;35.0;4278.0;202.0;445;306;13270;12963;726.0;12237;2139;10098;179;106.0;73;11301;1878.0;9423;601;155;306
2;Mannen en vrouwen;10000;1973;13388;13081;5350;767.0;6319.0;101.0;1862.0;40.0;4316.0;205.0;440;307;13388;13081;767.0;12314;2192;10122;201;114.0;87;11364;1927.0;9437;598;151;307
3;Mannen en vrouwen;10000;1974;13491;13183;5324;807.0;6411.0;107.0;1907.0;45.0;4351.0;207.0;433;308;13491;13183;807.0;12376;2243;10133;222;124.0;98;11411;1974.0;9437;597;146;308
4;Mannen en vrouwen;10000;1975;13599;13291;5295;850.0;6508.0;118.0;1952.0;48.0;4389.0;211.0;428;308;13599;13291;850.0;12441;2296;10145;243;136.0;108;11456;2019.0;9437;601;141;308
5;Mannen en vrouwen;10000;1976;13734;13425;5268;895.0;6622.0;133.0;2001.0;50.0;4438.0;217.0;423;309;13734;13425;895.0;12529;2355;10175;266;152.0;114;11515;2067.0;9448;613;136;309
6;Mannen en vrouwen;10000;1977;13814;13505;5215;941.0;6711.0;150.0;2041.0;51.0;4469.0;223.0;415;309;13814;13505;941.0;12564;2406;10158;289;171.0;118;11518;2104.0;9414;626;131;309
7;Mannen en vrouwen;10000;1978;13898;13588;5166;993.0;6792.0;169.0;2081.0;53.0;4489.0;230.0;407;310;13898;13588;993.0;12595;2458;10137;315;191.0;124;11512;2140.0;9372;641;127;310
8;Mannen en vrouwen;10000;1979;13986;13675;5126;1050.0;6863.0;191.0;2117.0;57.0;4498.0;239.0;397;311;13986;13675;1050.0;12625;2511;10114;344;214.0;131;11498;2173.0;9325;658;124;311
9;Mannen en vrouwen;10000;1980;14091;13780;5097;1114.0;6934.0;217.0;2151.0;61.0;4505.0;250.0;385;311;14091;13780;1114.0;12666;2566;10100;377;240.0;137;11486;2204.0;9282;681;122;311
10;Mannen en vrouwen;10000;1981;14209;13897;5079;1184.0;6999.0;247.0;2182.0;64.0;4505.0;263.0;372;312;14209;13897;1184.0;12713;2622;10091;411;269.0;142;11469;2231.0;9238;711;122;312
11;Mannen en vrouwen;10000;1982;14286;13976;5033;1256.0;7053.0;281.0;2202.0;67.0;4502.0;278.0;356;310;14286;13976;1256.0;12720;2669;10051;445;301.0;145;11406;2246.0;9160;746;122;310
12;Mannen en vrouwen;10000;1983;14340;14032;4975;1329.0;7092.0;318.0;2215.0;70.0;4488.0;294.0;342;307;14340;14032;1329.0;12703;2714;9989;481;334.0;146;11316;2256.0;9060;782;124;307
