ID;Bouwjaar;Perioden;TotaalNederland_1;Groningen_2;Fryslan_3;Drenthe_4;Overijssel_5;Flevoland_6;Gelderland_7;Utrecht_8;NoordHolland_9;ZuidHolland_10;Zeeland_11;NoordBrabant_12;Limburg_13;TotaalMotorfietsen_14;k_1Cilinder_15;k_2Cilinders_16;k_3Cilinders_17;k_4Cilinders_18;k_5Cilinders_19;k_6Cilinders_20;OverigEnOnbekendAantalCilinders_21;TotaalMotorfietsen_22;k_50Cc_23;k_51125Cc_24;k_126175Cc_25;k_176250Cc_26;k_251375Cc_27;k_376500Cc_28;k_501625Cc_29;k_626750Cc_30;k_751875Cc_31;k_8761000Cc_32;k_10011125Cc_33;k_1126CcEnMeer_34;OverigEnOnbekend_35;TotaalMotorfietsen_36;k_18Tot20Jaar_37;k_20Tot25Jaar_38;k_25Tot30Jaar_39;k_30Tot40Jaar_40;k_40Tot50Jaar_41;k_50Tot60Jaar_42;k_60Tot65Jaar_43;k_65JaarEnOuder_44;OpNaamRechtspersoon_45
0;Totaal alle bouwjaren;2019;646046;24861;29893;25776;49139;15091;83721;44287;101280;110042;17246;99290;45420;646046;91516;303241;20205;223889;29;5956;1210;646046;2916;15308;5955;18587;14522;43708;87885;131992;41181;87336;44659;132909;19088;646046;760;17135;46672;98738;130679;196740;70330;70130;14862
1;Totaal alle bouwjaren;2020;654387;25055;30229;26075;49666;15131;85059;44899;102560;112158;17438;100513;45604;654387;94234;310703;21893;219975;27;6120;1435;654387;3005;16163;6016;18528;16194;43244;85062;133322;43393;87710;44625;138267;18858;654387;845;18032;47443;100978;122818;196410;75459;76712;15690
2;Totaal alle bouwjaren;2021;666597;25665;30702;26717;50756;15579;86742;45788;103465;114726;17776;102541;46140;666597;97017;320963;23798;216845;28;6239;1707;666597;3081;17027;6106;18579;17681;43148;82427;135798;46174;88747;44904;144244;18681;666597;954;19321;47869;105321;117627;195291;80639;83071;16504
3;Totaal alle bouwjaren;2022;677787;26277;31278;27258;51899;15847;88418;46281;103604;117128;18211;104680;46906;677787;100055;330292;26019;213089;28;6361;1943;677787;3212;18109;6145;18476;19394;42993;79339;138564;48101;90302;45123;149580;18449;677787;942;19514;47950;110109;113467;192682;85313;90374;17436
4;Totaal alle bouwjaren;2023;690724;26977;32125;27854;53095;16169;90232;46870;104179;119696;18665;106727;48135;690724;103928;340062;28233;209706;26;6504;2265;690724;3342;19446;6360;18566;21317;43145;76552;141782;49968;92285;45406;154159;18396;690724;1080;20499;48284;114764;110421;188763;89783;98712;18418
5;Totaal alle bouwjaren;2024;703315;27538;32910;28506;54331;16470;92031;47402;105060;122341;19208;108576;48942;703315;107395;349890;30525;206234;24;6609;2638;703315;3464;20978;6442;18547;22944;43171;73849;145399;52171;94547;45610;157840;18353;703315;1342;21969;48977;118440;108532;183101;93768;108046;19140
6;Totaal alle bouwjaren;2025;720591;28228;33828;29470;55731;16911;94489;48512;107054;125272;20038;111164;49894;720591;111063;362749;33267;203730;23;6691;3068;720591;3649;22275;6592;18564;24646;44138;71501;149749;54668;97828;46162;162286;18533;720591;1588;24181;50078;122487;108696;177351;97197;118592;20421
7;Bouwjaren tot 1910;2019;71;7;4;13;3;0;23;3;2;3;2;4;7;71;55;15;0;0;0;0;1;71;0;0;1;19;23;22;1;1;0;2;0;0;2;71;0;0;1;2;5;23;5;34;1
8;Bouwjaren tot 1910;2020;71;7;3;13;3;0;23;3;2;3;2;4;8;71;54;16;0;0;0;0;1;71;0;0;1;18;23;23;1;1;0;2;0;0;2;71;0;0;1;2;6;22;5;34;1
9;Bouwjaren tot 1910;2021;71;9;3;12;3;0;23;3;2;3;2;3;8;71;54;16;0;0;0;0;1;71;0;0;1;17;24;23;1;1;0;2;0;0;2;71;0;0;1;1;8;23;5;32;1
