ID;Perioden;Huisbrandolie_1;Petroleum_2;k_420CSt_3;k_100CSt_4;k_60CSt_5
0;1996;288;317.0;161.0;182.0;186.0
1;1997 1e kwartaal;314;344.0;174.0;194.0;199.0
2;1997 2e kwartaal;294;324.0;160.0;180.0;185.0
3;1997 3e kwartaal;304;334.0;164.0;185.0;189.0
4;1997 4e kwartaal;312;342.0;174.0;194.0;199.0
5;1997;306;336.0;168.0;188.0;193.0
6;1998 1e kwartaal;299;329.0;155.0;175.0;180.0
7;1998 2e kwartaal;292;323.0;151.0;172.0;176.0
8;1998 3e kwartaal;278;308.0;144.0;164.0;169.0
9;1998 4e kwartaal;274;305.0;142.0;162.0;167.0
10;1998;286;316.0;148.0;168.0;173.0
11;1999 1e kwartaal;292;324.0;135.0;155.0;160.0
12;1999 2e kwartaal;315;357.0;152.0;172.0;177.0
13;1999 3e kwartaal;348;388.0;176.0;196.0;201.0
14;1999 4e kwartaal;384;422.0;198.0;218.0;223.0
15;1999;335;373.0;165.0;186.0;190.0
16;2000 1e kwartaal;434;480.0;218.0;239.0;243.0
17;2000 2e kwartaal;440;491.0;233.0;253.0;258.0
18;2000 3e kwartaal;501;540.0;243.0;264.0;268.0
19;2000 4e kwartaal;530;572.0;276.0;296.0;301.0
20;2000;476;521.0;243.0;263.0;268.0
21;2001 1e kwartaal;505;538.0;231.0;251.0;256.0
22;2001 2e kwartaal;520;558.0;229.0;250.0;254.0
23;2001 3e kwartaal;515;547.0;221.0;241.0;246.0
24;2001 4e kwartaal;477;495.0;196.0;217.0;221.0
25;2001;504;535.0;219.0;240.0;244.0
26;2002 1e kwartaal;468;495.0;201.0;221.0;226.0
27;2002 2e kwartaal;491;515.0;219.0;239.0;244.0
28;2002 3e kwartaal;490;518.0;224.0;244.0;249.0
29;2002 4e kwartaal;505;526.0;248.0;268.0;273.0
30;2002;489;513.0;223.0;243.0;248.0
31;2003 1e kwartaal;546;563.0;254.0;274.0;279.0
32;2003 2e kwartaal;482;500.0;214.0;234.0;239.0
33;2003 3e kwartaal;488;512.0;230.0;250.0;255.0
34;2003 4e kwartaal;500;522.0;210.0;230.0;235.0
35;2003;504;524.0;227.0;247.0;252.0
36;2004 1e kwartaal;505;535.0;196.0;216.0;221.0
37;2004 2e kwartaal;531;572.0;;;
38;2004 3e kwartaal;568;;;;
39;2004 4e kwartaal;615;;;;
40;2004;555;;;;
41;2005 1e kwartaal;608;;;;
42;2005 2e kwartaal;665;;;;
43;2005 3e kwartaal;728;;;;
44;2005 4e kwartaal;729;;;;
45;2005;684;;;;
46;2006 1e kwartaal;723;;;;
47;2006 2e kwartaal;758;;;;
48;2006 3e kwartaal;763;;;;
49;2006 4e kwartaal;713;;;;
50;2006;739;;;;
51;2007 1e kwartaal;699;;;;
52;2007 2e kwartaal;735;;;;
53;2007 3e kwartaal;753;;;;
54;2007 4e kwartaal;799;;;;
55;2007;747;;;;
56;2008 1e kwartaal;839;;;;
57;2008 2e kwartaal;912;;;;
58;2008 3e kwartaal;865;;;;
59;2008 4e kwartaal;652;;;;
60;2008;817;;;;
61;2009 1e kwartaal;515;;;;
62;2009 2e kwartaal;549;;;;
63;2009 3e kwartaal;587;;;;
64;2009 4e kwartaal;591;;;;
65;2009;564;;;;
