ID;BedrijfstakkenWoningen;RegioS;Perioden;AantalInstallaties_1;OpgesteldVermogenVanZonnepanelen_2
0;Alle economische activiteit en woningen;Nederland;2012;80648.0;287476.0
1;Alle economische activiteit en woningen;Nederland;2013;164442.0;650025.0
2;Alle economische activiteit en woningen;Nederland;2014;242364.0;1007613.0
3;Alle economische activiteit en woningen;Nederland;2015;342016.0;1526149.0
4;Alle economische activiteit en woningen;Nederland;2016;440036.0;2135295.0
5;Alle economische activiteit en woningen;Nederland;2017;582051.0;2910892.0
6;Alle economische activiteit en woningen;Nederland;2018;774093.0;4522136.0
7;Alle economische activiteit en woningen;Noord-Nederland (LD);2012;11196.0;47251.0
8;Alle economische activiteit en woningen;Noord-Nederland (LD);2013;23192.0;105975.0
9;Alle economische activiteit en woningen;Noord-Nederland (LD);2014;33674.0;159288.0
10;Alle economische activiteit en woningen;Noord-Nederland (LD);2015;53148.0;253247.0
11;Alle economische activiteit en woningen;Noord-Nederland (LD);2016;70858.0;394730.0
12;Alle economische activiteit en woningen;Noord-Nederland (LD);2017;94793.0;536240.0
13;Alle economische activiteit en woningen;Noord-Nederland (LD);2018;121868.0;830498.0
14;Alle economische activiteit en woningen;Oost-Nederland (LD);2012;18109.0;75327.0
15;Alle economische activiteit en woningen;Oost-Nederland (LD);2013;38317.0;176366.0
16;Alle economische activiteit en woningen;Oost-Nederland (LD);2014;58931.0;279049.0
17;Alle economische activiteit en woningen;Oost-Nederland (LD);2015;85532.0;423469.0
18;Alle economische activiteit en woningen;Oost-Nederland (LD);2016;109656.0;577590.0
19;Alle economische activiteit en woningen;Oost-Nederland (LD);2017;143353.0;776648.0
20;Alle economische activiteit en woningen;Oost-Nederland (LD);2018;190919.0;1136328.0
21;Alle economische activiteit en woningen;West-Nederland (LD);2012;33298.0;90776.0
22;Alle economische activiteit en woningen;West-Nederland (LD);2013;65503.0;205161.0
23;Alle economische activiteit en woningen;West-Nederland (LD);2014;97298.0;328449.0
24;Alle economische activiteit en woningen;West-Nederland (LD);2015;130084.0;476108.0
25;Alle economische activiteit en woningen;West-Nederland (LD);2016;164905.0;653619.0
26;Alle economische activiteit en woningen;West-Nederland (LD);2017;215412.0;898850.0
27;Alle economische activiteit en woningen;West-Nederland (LD);2018;285979.0;1469943.0
28;Alle economische activiteit en woningen;Zuid-Nederland (LD);2012;18034.0;74064.0
29;Alle economische activiteit en woningen;Zuid-Nederland (LD);2013;37415.0;162394.0
30;Alle economische activiteit en woningen;Zuid-Nederland (LD);2014;52366.0;240524.0
31;Alle economische activiteit en woningen;Zuid-Nederland (LD);2015;73076.0;372810.0
32;Alle economische activiteit en woningen;Zuid-Nederland (LD);2016;94401.0;508768.0
33;Alle economische activiteit en woningen;Zuid-Nederland (LD);2017;128491.0;699126.0
34;Alle economische activiteit en woningen;Zuid-Nederland (LD);2018;175019.0;1084408.0
35;Alle economische activiteit en woningen;Niet in te delen (LD);2012;11.0;57.0
36;Alle economische activiteit en woningen;Niet in te delen (LD);2013;15.0;129.0
37;Alle economische activiteit en woningen;Niet in te delen (LD);2014;95.0;304.0
38;Alle economische activiteit en woningen;Niet in te delen (LD);2015;176.0;516.0
39;Alle economische activiteit en woningen;Niet in te delen (LD);2016;216.0;588.0
40;Alle economische activiteit en woningen;Niet in te delen (LD);2017;2.0;28.0
41;Alle economische activiteit en woningen;Niet in te delen (LD);2018;308.0;958.0
42;Alle economische activiteit en woningen;Groningen (PV);2012;2941.0;11639.0
43;Alle economische activiteit en woningen;Groningen (PV);2013;6349.0;28550.0
44;Alle economische activiteit en woningen;Groningen (PV);2014;9299.0;43400.0
45;Alle economische activiteit en woningen;Groningen (PV);2015;19358.0;82391.0
46;Alle economische activiteit en woningen;Groningen (PV);2016;25770.0;156889.0
47;Alle economische activiteit en woningen;Groningen (PV);2017;32036.0;204176.0
48;Alle economische activiteit en woningen;Groningen (PV);2018;38220.0;270244.0
49;Alle economische activiteit en woningen;Friesland (PV);2012;5011.0;20159.0
50;Alle economische activiteit en woningen;Friesland (PV);2013;10034.0;42883.0
51;Alle economische activiteit en woningen;Friesland (PV);2014;14228.0;63653.0
52;Alle economische activiteit en woningen;Friesland (PV);2015;18718.0;95167.0
53;Alle economische activiteit en woningen;Friesland (PV);2016;22852.0;129912.0
54;Alle economische activiteit en woningen;Friesland (PV);2017;30427.0;171018.0
