ID;Einddiploma;Perioden;TotaleUitgaven_1;UitgavenBasisonderwijsBao_2;TotaalVoortgezetOnderwijs_3;AlgemeenVormendOnderwijsAvo_4;Vmbo_5;Havo_6;Vwo_7;TotaalTertiairOnderwijs_8;HboVoltijd_9;WoVoltijd_10
0;Basisonderwijs;1998;25.2;25.2;;;;;;;;
1;Basisonderwijs;1999;26.8;26.8;;;;;;;;
2;Basisonderwijs;2000;29.9;29.9;;;;;;;;
3;Basisonderwijs;2001;33.8;33.8;;;;;;;;
4;Basisonderwijs;2002;37.1;37.1;;;;;;;;
5;Basisonderwijs;2003;40.1;40.1;;;;;;;;
6;Basisonderwijs;2004;39.9;39.9;;;;;;;;
7;Basisonderwijs;2005;41.7;41.7;;;;;;;;
8;Basisonderwijs;2006;42.2;42.2;;;;;;;;
9;Basisonderwijs;2007;42.5;42.5;;;;;;;;
10;Basisonderwijs;2008;44.9;44.9;;;;;;;;
11;Basisonderwijs;2009;47.4;47.4;;;;;;;;
12;Basisonderwijs;2010;47.8;47.8;;;;;;;;
13;Basisonderwijs;2011;47.6;47.6;;;;;;;;
14;Basisonderwijs;2012;48.0;48.0;;;;;;;;
15;Basisonderwijs;2013;49.9;49.9;;;;;;;;
16;Basisonderwijs;2014;49.1;49.1;;;;;;;;
17;Basisonderwijs;2015;50.7;50.7;;;;;;;;
18;Vmbo;1998;43.8;25.2;18.6;9.3;9.3;;;;;
19;Vmbo;1999;47.2;26.8;20.5;10.2;10.2;;;;;
20;Vmbo;2000;52.0;29.9;22.2;11.1;11.1;;;;;
21;Vmbo;2001;58.3;33.8;24.5;12.2;12.2;;;;;
22;Vmbo;2002;62.6;37.1;25.5;12.7;12.7;;;;;
23;Vmbo;2003;65.8;40.1;25.7;12.8;12.8;;;;;
24;Vmbo;2004;66.5;39.9;26.6;13.3;13.3;;;;;
25;Vmbo;2005;68.9;41.7;27.2;13.6;13.6;;;;;
26;Vmbo;2006;69.2;42.2;27.0;13.5;13.5;;;;;
27;Vmbo;2007;71.0;42.5;28.6;14.3;14.3;;;;;
28;Vmbo;2008;74.5;44.9;29.6;14.8;14.8;;;;;
29;Vmbo;2009;79.6;47.4;32.2;16.1;16.1;;;;;
30;Vmbo;2010;80.6;47.8;32.9;16.4;16.4;;;;;
31;Vmbo;2011;79.9;47.6;32.4;16.2;16.2;;;;;
32;Vmbo;2012;80.8;48.0;32.8;16.4;16.4;;;;;
33;Vmbo;2013;83.7;49.9;33.8;16.9;16.9;;;;;
34;Vmbo;2014;81.6;49.1;32.6;16.3;16.3;;;;;
35;Vmbo;2015;83.9;50.7;33.2;16.6;16.6;;;;;
36;Havo;1998;48.5;25.2;23.2;9.3;;13.9;;;;
37;Havo;1999;52.3;26.8;25.6;10.2;;15.4;;;;
38;Havo;2000;57.6;29.9;27.7;11.1;;16.6;;;;
39;Havo;2001;64.4;33.8;30.6;12.2;;18.4;;;;
40;Havo;2002;69.0;37.1;31.9;12.7;;19.1;;;;
41;Havo;2003;72.2;40.1;32.1;12.8;;19.3;;;;
42;Havo;2004;73.2;39.9;33.3;13.3;;20.0;;;;
43;Havo;2005;75.7;41.7;34.0;13.6;;20.4;;;;
44;Havo;2006;75.9;42.2;33.8;13.5;;20.3;;;;
45;Havo;2007;78.2;42.5;35.7;14.3;;21.4;;;;
46;Havo;2008;81.9;44.9;37.0;14.8;;22.2;;;;
47;Havo;2009;87.7;47.4;40.2;16.1;;24.1;;;;
48;Havo;2010;88.9;47.8;41.1;16.4;;24.7;;;;
49;Havo;2011;88.0;47.6;40.5;16.2;;24.3;;;;
50;Havo;2012;89.0;48.0;41.0;16.4;;24.6;;;;
51;Havo;2013;92.2;49.9;42.3;16.9;;25.4;;;;
52;Havo;2014;89.8;49.1;40.7;16.3;;24.4;;;;
53;Havo;2015;92.2;50.7;41.5;16.6;;24.9;;;;
54;Vwo;1998;53.1;25.2;27.9;9.3;;;18.6;;;
55;Vwo;1999;57.5;26.8;30.7;10.2;;;20.5;;;
56;Vwo;2000;63.1;29.9;33.3;11.1;;;22.2;;;
57;Vwo;2001;70.5;33.8;36.7;12.2;;;24.5;;;
58;Vwo;2002;75.3;37.1;38.2;12.7;;;25.5;;;
59;Vwo;2003;78.7;40.1;38.5;12.8;;;25.7;;;
