ID;BedrijfstakkenBrancheSBI93;Perioden;Uitzendkrachten_1
0;A-Q Alle economische activiteiten ..;2000;195.0
1;A-Q Alle economische activiteiten ..;2001 voor revisie;187.0
2;A-Q Alle economische activiteiten ..;2001 na revisie;183.0
3;A-Q Alle economische activiteiten ..;2002;173.0
4;A-Q Alle economische activiteiten ..;2003;152.0
5;A-Q Alle economische activiteiten ..;2004;152.0
6;A-Q Alle economische activiteiten ..;2005;179.0
7;A-Q Alle economische activiteiten ..;2006;205.0
8;A-Q Alle economische activiteiten ..;2007;213.0
9;0000b Landbouw, bosbouw, visserij (A+B);2000;5.0
10;0000b Landbouw, bosbouw, visserij (A+B);2001 voor revisie;3.0
11;0000b Landbouw, bosbouw, visserij (A+B);2001 na revisie;3.0
12;0000b Landbouw, bosbouw, visserij (A+B);2002;4.0
13;0000b Landbouw, bosbouw, visserij (A+B);2003;5.0
14;0000b Landbouw, bosbouw, visserij (A+B);2004;5.0
15;0000b Landbouw, bosbouw, visserij (A+B);2005;5.0
16;0000b Landbouw, bosbouw, visserij (A+B);2006;6.0
17;0000b Landbouw, bosbouw, visserij (A+B);2007;7.0
18;C Winning van delfstoffen;2000;
19;C Winning van delfstoffen;2001 voor revisie;
20;C Winning van delfstoffen;2001 na revisie;
21;C Winning van delfstoffen;2002;
22;C Winning van delfstoffen;2003;
23;C Winning van delfstoffen;2004;
24;C Winning van delfstoffen;2005;
25;C Winning van delfstoffen;2006;
26;C Winning van delfstoffen;2007;
27;D Industrie;2000;42.0
28;D Industrie;2001 voor revisie;43.0
29;D Industrie;2001 na revisie;36.0
30;D Industrie;2002;35.0
31;D Industrie;2003;32.0
32;D Industrie;2004;37.0
33;D Industrie;2005;37.0
34;D Industrie;2006;44.0
35;D Industrie;2007;47.0
36;E Productie en distributie van en ..;2000;
37;E Productie en distributie van en ..;2001 voor revisie;2.0
38;E Productie en distributie van en ..;2001 na revisie;2.0
39;E Productie en distributie van en ..;2002;2.0
40;E Productie en distributie van en ..;2003;3.0
41;E Productie en distributie van en ..;2004;2.0
42;E Productie en distributie van en ..;2005;3.0
43;E Productie en distributie van en ..;2006;4.0
44;E Productie en distributie van en ..;2007;3.0
45;F Bouwnijverheid;2000;10.0
46;F Bouwnijverheid;2001 voor revisie;7.0
47;F Bouwnijverheid;2001 na revisie;8.0
48;F Bouwnijverheid;2002;7.0
49;F Bouwnijverheid;2003;6.0
50;F Bouwnijverheid;2004;8.0
51;F Bouwnijverheid;2005;11.0
52;F Bouwnijverheid;2006;14.0
53;F Bouwnijverheid;2007;15.0
54;G Reparatie van consumentenartikelen ..;2000;21.0
55;G Reparatie van consumentenartikelen ..;2001 voor revisie;15.0
