ID;Perioden;Huwelijksontbindingen_1;HuwelijksontbindingenPer1000Inwoners_2;HuwelijksontbindingenPer1000Echtp_3;Echtscheidingen_4;EchtscheidingenPer1000Inwoners_5;EchtscheidingenPer1000Echtparen_6;GemiddeldeHuwelijksduurBijEchtsch_7;TotaalEchtscheidingspercentage_8;GemiddeldeLeeftijdMannen_9;GemiddeldeLeeftijdVrouwen_10;OverledenGehuwden_11;OverledenGehuwdenPer1000Echtparen_12;OverledenGehuwdeMannen_13;OverledenGehuwdeMannenPer1000Echtp_14;OverledenGehuwdeMannen_15;AchterblijvendeVrouwen_16;OverledenGehuwdeVrouwen_17;OverledenGehuwdeVrouwenPer1000E_18;OverledenGehuwdeVrouwen_19;AchterblijvendeMannen_20
0;1950;39746;3.9;18.6;6462;0.64;3.0;11.2;;38.4;35.6;33284;15.6;19562;9.2;65.5;61.7;13722;6.4;63.6;65.0
1;1951;40318;3.9;18.5;6075;0.59;2.8;11.4;;39.5;36.6;34243;15.7;20396;9.3;65.6;62.0;13847;6.3;63.9;65.2
2;1952;40299;3.9;18.1;5828;0.56;2.6;11.5;;39.5;36.6;34471;15.5;20521;9.2;65.7;61.9;13950;6.3;63.9;65.3
3;1953;42016;4.0;18.6;5471;0.52;2.4;11.4;;39.5;36.6;36545;16.1;21742;9.6;65.7;62.0;14803;6.5;64.0;65.4
4;1954;41848;3.9;18.2;5525;0.52;2.4;11.5;;40.0;36.9;36323;15.8;22258;9.7;65.8;62.0;14065;6.1;64.4;65.9
5;1955;42977;4.0;18.3;5498;0.51;2.3;11.4;;39.6;36.8;37479;16.0;23404;10.0;66.3;62.4;14075;6.0;64.7;66.1
6;1956;44846;4.1;18.7;5548;0.51;2.3;11.5;;39.7;36.8;39298;16.4;24500;10.2;66.5;62.7;14798;6.2;65.3;66.7
7;1957;44015;4.0;18.1;5342;0.48;2.2;11.6;;39.6;37.5;38673;15.9;24132;9.9;66.3;62.5;14541;6.0;64.9;66.4
8;1958;44786;4.0;18.0;5280;0.47;2.1;11.3;;39.8;36.6;39506;15.9;24870;10.0;66.6;62.8;14636;5.9;65.4;66.9
9;1959;46002;4.1;18.2;5530;0.49;2.2;11.3;;39.5;36.5;40472;16.0;26084;10.3;66.6;62.8;14388;5.7;65.5;66.9
10;1960;47272;4.1;18.4;5672;0.49;2.2;11.1;;39.1;36.0;41600;16.2;26784;10.4;66.7;62.8;14816;5.8;65.8;67.3
11;1961;48416;4.2;18.6;5704;0.49;2.2;11.3;;39.3;36.0;42712;16.4;27830;10.7;66.6;62.8;14882;5.7;65.8;67.4
12;1962;50811;4.3;19.1;5711;0.48;2.2;11.5;;39.5;36.3;45100;17.0;29756;11.2;66.9;63.1;15344;5.8;66.1;67.6
13;1963;52273;4.4;19.4;5851;0.49;2.2;11.5;;39.1;35.9;46422;17.2;30853;11.4;67.1;63.3;15569;5.8;66.3;67.9
14;1964;52494;4.3;19.1;6203;0.51;2.3;11.3;;38.9;35.7;46291;16.9;30965;11.3;66.8;63.0;15326;5.6;66.1;67.8
15;1965;54981;4.5;19.6;6206;0.5;2.2;11.5;;39.1;36.0;48775;17.4;32715;11.7;67.1;63.3;16060;5.7;66.4;68.0
16;1966;56335;4.5;19.6;6797;0.55;2.4;11.7;;38.9;36.0;49538;17.3;33263;11.6;67.3;63.5;16275;5.7;66.3;68.0
17;1967;57716;4.6;19.7;7464;0.59;2.6;11.7;;39.1;35.9;50252;17.2;34105;11.7;67.2;63.5;16147;5.5;66.3;67.9
18;1968;60368;4.7;20.3;8146;0.64;2.7;11.7;;38.8;35.7;52222;17.5;35687;12.0;67.5;63.8;16535;5.5;66.6;68.3
19;1969;63012;4.9;20.7;9080;0.71;3.0;11.8;;38.8;35.8;53932;17.7;36812;12.1;67.6;63.9;17120;5.6;66.4;68.1
20;1970;65285;5.0;21.0;10317;0.79;3.3;11.8;;38.6;35.6;54968;17.7;37843;12.2;67.6;63.9;17125;5.5;66.5;68.2
21;1971;66404;5.0;20.9;11572;0.88;3.6;11.8;12.1;38.3;35.5;54832;17.3;37797;11.9;67.7;64.1;17035;5.4;66.7;68.4
22;1972;71738;5.4;22.2;14938;1.12;4.6;13.4;15.8;41.0;38.4;56800;17.6;39551;12.3;67.9;64.3;17249;5.3;66.9;68.6
23;1973;72898;5.4;22.3;17913;1.33;5.5;13.0;18.4;39.7;37.1;54985;16.8;38262;11.7;68.1;64.4;16723;5.1;66.5;68.3
24;1974;73539;5.4;22.3;19167;1.42;5.8;12.6;18.9;39.2;36.5;54372;16.5;38032;11.5;68.1;64.5;16340;4.9;66.8;68.5
25;1975;76885;5.6;23.0;20093;1.47;6.0;12.5;19.3;38.7;36.0;56792;17.0;40009;12.0;68.5;64.8;16783;5.0;67.1;68.8
26;1976;77290;5.6;22.9;20889;1.52;6.2;12.3;19.8;38.4;35.7;56401;16.7;40137;11.9;68.6;65.0;16264;4.8;67.0;68.8
27;1977;76472;5.5;22.6;21483;1.55;6.3;12.3;20.3;38.2;35.6;54989;16.2;38937;11.5;68.6;64.9;16052;4.7;66.7;68.4
28;1978;78598;5.6;23.1;22257;1.6;6.5;12.1;20.9;38.0;35.3;56341;16.5;40135;11.8;68.9;65.3;16206;4.8;67.2;68.9
29;1979;79121;5.6;23.2;23748;1.69;7.0;12.0;22.3;37.8;35.2;55373;16.2;39411;11.5;69.1;65.5;15962;4.7;67.1;68.9
30;1980;81504;5.8;23.8;25735;1.82;7.5;11.9;24.0;37.7;35.1;55769;16.3;40065;11.7;69.3;65.7;15704;4.6;67.4;69.2
31;1981;84516;5.9;24.6;28509;2.0;8.3;12.0;26.4;37.8;35.1;56007;16.3;40168;11.7;69.6;66.0;15839;4.6;67.4;69.2
32;1982;87151;6.1;25.4;30877;2.16;9.0;12.1;28.5;38.3;35.5;56274;16.4;40629;11.8;69.6;66.1;15645;4.6;67.7;69.5
33;1983;88982;6.2;25.8;32589;2.27;9.4;12.5;30.2;38.9;35.9;56393;16.3;40773;11.8;70.0;66.5;15620;4.5;67.7;69.4
34;1984;90406;6.3;26.2;34068;2.36;9.9;12.7;31.8;39.2;36.2;56338;16.4;40553;11.8;70.1;66.6;15785;4.6;67.9;69.7
35;1985;91479;6.3;26.6;34044;2.35;9.9;12.8;32.2;39.6;36.5;57435;16.7;41480;12.1;70.4;66.8;15955;4.6;68.2;69.9
36;1986;87880;6.0;25.6;29836;2.05;8.7;12.9;28.9;39.6;36.7;58044;16.9;41711;12.1;70.4;66.9;16333;4.8;68.2;70.0
37;1987;84251;5.7;24.4;27788;1.89;8.1;13.1;27.3;39.8;37.0;56463;16.4;40794;11.8;70.6;67.1;15669;4.5;68.0;69.9
38;1988;84726;5.7;24.5;27870;1.89;8.1;13.0;27.5;39.9;37.1;56856;16.4;40840;11.8;70.8;67.3;16016;4.6;68.3;70.0
39;1989;86106;5.8;24.8;28250;1.9;8.1;12.9;27.8;40.0;37.1;57856;16.7;41472;12.0;71.1;67.6;16384;4.7;68.3;70.1
40;1990;85816;5.7;24.6;28419;1.9;8.1;12.7;28.1;40.1;37.2;57397;16.4;41230;11.8;71.2;67.7;16167;4.6;68.5;70.3
41;1991;85907;5.7;24.5;28277;1.88;8.1;12.5;27.8;39.9;37.1;57630;16.4;41106;11.7;71.4;67.9;16524;4.7;68.5;70.2
42;1992;87879;5.8;24.9;30463;2.01;8.6;12.3;29.3;40.0;37.2;57416;16.3;40927;11.6;71.3;67.9;16489;4.7;68.4;70.1
43;1993;90628;5.9;25.6;30496;1.99;8.6;12.0;29.2;40.1;37.4;60132;17.0;43082;12.2;71.7;68.2;17050;4.8;68.4;70.2
44;1994;94604;6.1;26.7;36182;2.35;10.2;12.0;33.5;40.3;37.5;58422;16.5;41399;11.7;71.7;68.2;17023;4.8;68.5;70.3
45;1995;92539;6.0;26.1;34170;2.21;9.7;12.2;31.7;40.4;37.7;58369;16.5;41586;11.7;71.9;68.4;16783;4.7;68.5;70.4
46;1996;94140;6.1;26.7;34871;2.25;9.9;12.2;32.8;40.8;38.1;59269;16.8;42032;11.9;71.9;68.5;17237;4.9;68.6;70.4
47;1997;91704;5.9;26.0;33740;2.16;9.6;12.3;32.4;41.0;38.4;57964;16.4;40942;11.6;72.1;68.7;17022;4.8;68.7;70.5
48;1998;90773;5.8;25.7;32459;2.07;9.2;12.7;31.6;41.6;38.7;58314;16.5;40999;11.6;72.3;68.9;17315;4.9;69.1;70.8
49;1999;92395;5.8;26.1;33571;2.12;9.5;12.9;32.9;41.8;38.8;58824;16.6;41096;11.6;72.5;69.0;17728;5.0;68.8;70.6
50;2000;93603;5.9;26.4;34650;2.18;9.8;12.9;33.9;41.9;39.0;58953;16.6;41063;11.6;72.7;69.2;17890;5.1;69.2;71.0
51;2001;95575;6.0;27.0;37104;2.31;10.5;13.1;36.1;42.1;39.2;58471;16.5;40589;11.5;72.7;69.2;17882;5.1;69.3;71.1
52;2002;91704;5.7;26.0;33179;2.05;9.4;13.6;33.3;42.7;39.8;58525;16.6;40467;11.5;73.0;69.5;18058;5.1;69.3;71.1
53;2003;89770;5.5;25.5;31479;1.94;8.9;13.6;32.2;43.0;40.0;58291;16.5;40240;11.4;73.1;69.7;18051;5.1;69.5;71.2
54;2004;87779;5.4;25.0;31098;1.91;8.9;13.6;32.3;43.3;40.3;56681;16.1;38920;11.1;73.2;69.8;17761;5.1;69.5;71.3
55;2005;88178;5.4;25.2;31905;1.95;9.1;13.8;33.4;43.7;40.7;56273;16.1;38613;11.0;73.6;70.2;17660;5.1;69.9;71.7
56;2006;86875;5.3;25.0;31734;1.94;9.1;14.0;33.8;44.1;41.1;55141;15.9;37889;10.9;73.8;70.3;17252;5.0;69.9;71.7
57;2007;86739;5.3;25.1;31983;1.95;9.2;14.1;34.1;44.6;41.5;54756;15.8;37604;10.9;74.1;70.6;17152;5.0;70.2;72.0
58;2008;86979;5.3;25.2;32236;1.96;9.3;14.2;35.2;44.8;41.8;54743;15.9;37105;10.8;74.3;70.8;17638;5.1;70.5;72.3
59;2009;85697;5.2;24.9;30779;1.86;8.9;14.3;34.3;45.2;42.2;54918;15.9;37453;10.9;74.5;71.0;17465;5.1;70.7;72.5
60;2010;88182;5.3;25.6;32544;1.96;9.5;14.4;36.2;45.6;42.5;55638;16.2;37765;11.0;74.7;71.2;17873;5.2;70.9;72.7
61;2011;87756;5.3;25.6;32510;1.95;9.5;14.5;36.5;45.8;42.7;55246;16.1;37051;10.8;75.0;71.5;18195;5.3;71.0;72.7
62;2012;89976;5.4;26.3;33273;1.99;9.7;14.5;37.0;46.0;42.9;56703;16.6;38333;11.2;75.3;71.9;18370;5.4;71.5;73.2
63;2013;90411;5.4;26.5;33636;2.0;9.9;14.4;38.1;46.2;43.0;56775;16.7;38265;11.2;75.5;72.1;18510;5.4;71.9;73.6
64;2014;91402;5.4;27.0;35409;2.1;10.4;14.8;40.1;46.7;43.5;55993;16.5;37361;11.0;75.8;72.3;18632;5.5;72.1;73.9
65;2015;92552;5.5;27.4;34232;2.02;10.1;14.8;39.6;46.9;43.7;58320;17.3;38987;11.6;76.2;72.7;19333;5.7;72.6;74.3
66;2016;92229;5.4;27.4;33414;1.96;9.9;15.0;39.1;47.3;44.0;58815;17.5;39218;11.7;76.4;73.0;19597;5.8;72.6;74.4
67;2017;91730;5.4;27.3;32768;1.91;9.7;15.1;38.8;47.4;44.2;58962;17.5;39191;11.7;76.7;73.2;19771;5.9;73.3;75.0
68;2018;91080;5.3;27.1;30729;1.78;9.2;15.0;37.1;47.6;44.3;60351;18.0;39874;11.9;77.0;73.6;20477;6.1;73.6;75.3
69;2019;90279;5.2;26.9;30041;1.73;8.9;14.9;36.7;47.5;44.3;60238;17.9;39868;11.9;77.3;73.9;20370;6.1;73.8;75.4
70;2020;95614;5.5;28.5;28965;1.66;8.6;14.9;36.0;47.8;44.5;66649;19.9;44997;13.4;77.7;74.2;21652;6.5;74.4;76.0
71;2021;93620;5.3;28.0;25962;1.48;7.8;15.0;33.0;48.2;44.9;67658;20.3;45439;13.6;77.7;74.2;22219;6.7;74.2;75.9
72;2022;88986;5.0;26.6;23603;1.33;7.0;14.8;30.6;48.0;44.8;65383;19.5;42996;12.8;78.0;74.5;22387;6.7;74.5;76.1
73;2023;88993;5.0;26.4;24310;1.36;7.2;14.6;31.7;48.0;44.6;64683;19.2;42544;12.6;78.2;74.8;22139;6.6;74.8;76.4
