ID;Periods;CruisePassengers_1
0;2012 January;28.6
1;2012 February;33.7
2;2012 March;24.5
3;2012 1st quarter;86.8
4;2012 April;21.3
5;2012 May;0.0
6;2012 June;0.0
7;2012 2nd quarter;21.3
8;2012 July;0.2
9;2012 August;0.4
10;2012 September;0.1
11;2012 3rd quarter;0.7
12;2012 October;0.7
13;2012 November;14.5
14;2012 December;33.6
15;2012 4th quarter;48.8
16;2012;157.5
17;2013 January;36.0
18;2013 February;22.5
19;2013 March;19.5
20;2013 1st quarter;78.0
21;2013 April;14.0
22;2013 May;0.4
23;2013 June;0.4
24;2013 2nd quarter;14.8
25;2013 July;0.5
26;2013 August;0.2
27;2013 September;0.2
28;2013 3rd quarter;0.9
29;2013 October;0.2
30;2013 November;13.5
31;2013 December;34.7
32;2013 4th quarter;48.4
33;2013;142.0
34;2014 January;32.6
35;2014 February;29.1
36;2014 March;26.8
37;2014 1st quarter;88.5
38;2014 April;15.1
39;2014 May;0.0
40;2014 June;0.0
41;2014 2nd quarter;15.1
42;2014 July;2.3
43;2014 August;0.2
44;2014 September;0.3
45;2014 3rd quarter;2.9
46;2014 October;0.4
47;2014 November;26.0
48;2014 December;23.7
49;2014 4th quarter;50.1
50;2014;156.6
51;2015 January;38.4
52;2015 February;39.5
53;2015 March;34.3
54;2015 1st quarter;112.3
55;2015 April;14.0
56;2015 May;0.5
57;2015 June;0.5
58;2015 2nd quarter;14.9
59;2015 July;1.7
60;2015 August;4.0
61;2015 September;5.1
62;2015 3rd quarter;10.8
63;2015 October;19.9
64;2015 November;35.6
65;2015 December;36.7
66;2015 4th quarter;92.2
67;2015;230.2
68;2016 January;25.7
69;2016 February;23.4
70;2016 March;25.4
71;2016 1st quarter;74.6
72;2016 April;8.6
73;2016 May;3.9
74;2016 June;7.3
75;2016 2nd quarter;19.7
76;2016 July;4.1
77;2016 August;3.6
78;2016 September;9.8
79;2016 3rd quarter;17.6
80;2016 October;6.7
81;2016 November;47.8
82;2016 December;40.9
83;2016 4th quarter;95.4
84;2016;207.2
85;2017 January;47.3
86;2017 February;56.2
87;2017 March;55.6
88;2017 1st quarter;159.1
89;2017 April;24.7
90;2017 May;21.2
91;2017 June;13.2
92;2017 2nd quarter;59.1
93;2017 July;14.5
94;2017 August;10.4
95;2017 September;15.4
96;2017 3rd quarter;40.3
97;2017 October;20.4
98;2017 November;63.7
99;2017 December;63.7
100;2017 4th quarter;147.8
101;2017;406.3
102;2018 January;69.2
103;2018 February;71.7
104;2018 March;55.9
105;2018 1st quarter;196.8
106;2018 April;41.7
107;2018 May;11.5
108;2018 June;6.0
109;2018 2nd quarter;59.3
110;2018 July;13.8
111;2018 August;7.9
112;2018 September;13.0
113;2018 3rd quarter;34.8
114;2018 October;18.4
115;2018 November;27.4
116;2018 December;60.6
117;2018 4th quarter;106.4
118;2018;397.2
119;2019 January;73.9
120;2019 February;39.9
121;2019 March;48.3
122;2019 1st quarter;162.1
123;2019 April;41.1
124;2019 May;21.7
125;2019 June;19.1
126;2019 2nd quarter;81.9
127;2019 July;19.9
128;2019 August;23.8
129;2019 September;21.5
130;2019 3rd quarter;65.2
131;2019 October;29.1
132;2019 November;51.6
133;2019 December;67.8
134;2019 4th quarter;148.5
135;2019;457.8
136;2020 January;78.0
137;2020 February;61.2
138;2020 March;36.9
139;2020 1st quarter;176.1
140;2020 April;0.0
141;2020 May;0.0
142;2020 June;0.0
143;2020 2nd quarter;0.0
144;2020 July;0.0
145;2020 August;0.0
146;2020 September;0.0
147;2020 3rd quarter;0.0
148;2020 October;0.0
149;2020 November;0.0
150;2020 December;0.0
151;2020 4th quarter;0.0
152;2020;176.1
153;2021 January;0.0
154;2021 February;0.0
155;2021 March;0.0
156;2021 1st quarter;0.1
157;2021 April;0.0
158;2021 May;0.0
159;2021 June;0.0
160;2021 2nd quarter;0.0
161;2021 July;0.0
162;2021 August;0.0
163;2021 September;2.1
164;2021 3rd quarter;2.1
165;2021 October;2.4
166;2021 November;17.5
167;2021 December;34.6
168;2021 4th quarter;54.5
169;2021;56.7
170;2022 January;28.2
171;2022 February;26.4
172;2022 March;35.4
173;2022 1st quarter;90.0
174;2022 April;21.8
175;2022 May;9.0
176;2022 June;9.7
177;2022 2nd quarter;40.5
178;2022 July;4.5
179;2022 August;7.7
180;2022 September;11.2
181;2022 3rd quarter;23.4
182;2022 October;20.9
183;2022 November;45.4
184;2022 December;65.2
185;2022 4th quarter;131.5
186;2022;285.4
187;2023 January;62.2
188;2023 February;67.5
189;2023 March;64.5
190;2023 1st quarter;194.2
191;2023 April;30.3
192;2023 May;22.7
193;2023 June;17.0
194;2023 2nd quarter;70.0
195;2023 July;9.9
196;2023 August;8.9
197;2023 September;4.8
198;2023 3rd quarter;23.6
199;2023 October;13.1
200;2023 November;31.6
201;2023 December;59.6
202;2023 4th quarter;104.3
203;2023;392.1
204;2024 January;56.0
205;2024 February;29.7
206;2024 March;43.4
207;2024 1st quarter;129.1
208;2024 April;30.1
209;2024 May;21.8
210;2024 June;10.6
211;2024 2nd quarter;62.5
212;2024 July;26.0
213;2024 August;15.8
214;2024 September;10.4
215;2024 3rd quarter;52.2
216;2024 October;17.2
217;2024 November;35.5
218;2024 December;62.0
219;2024 4th quarter;114.7
220;2024;358.5
