ID;Organisatie;Perioden;TotaalAantalOrganisaties_1;TotaalAantalKlanten_2;GemiddeldAantalKlanten_3;GemiddeldAantalKlantenOnder18Jaar_4;MinderDan51Klanten_5;k_51100Klanten_6;k_101200Klanten_7;k_201300Klanten_8;k_301400Klanten_9;k_401500Klanten_10;MeerDan500Klanten_11;BeschiktOverGehuurdeAccommodatie_12;BeschiktOverAccommodatieInEigendom_13;GymzaalSportzaalEnSporthal_14;Tennishal_15;OverigeOverdekteSportruimte_16;RijbakVoorPaardensport_17;Clubhuis_18;ClubhuisInEigendom_19;InLoondienst_20;NietInLoondienst_21;WerkzamePersonenInLoondienst_22;TotaalWerkzamePersonen_23;WerkzamePersonenInLoondienst_24;TrainingInstructieVerzorging_25;BestuurAdministratie_26;OnderhoudSchoonmaakKantine_27;OverigPersoneel_28;WerkzamePersonenNietInLoondienst_29;DirecteurEigenaar_30;Inhuur_31;OrganisatiesMetVrijwilligers_32;TotaalBaten_33;AbonnementsEnLesgelden_34;SubsidiesEnBijdragen_35;SponsorEnReclamegelden_36;Kantineverkopen_37;OverigeBaten_38;TotaalLasten_39;LonenEnSocialeLasten_40;PersoneelNietInLoondienst_41;Huisvestingskosten_42;OnderhoudEnSchoonmaak_43;InkoopkostenKantine_44;Kapitaallasten_45;OverigeLasten_46;Saldo_47
0;Maneges;2000;1160.0;205.0;176.0;;27.0;13.0;39.0;10.0;4.0;4.0;3.0;34.0;70.0;0.0;0.0;0.0;70.0;;;46.0;74.0;1600.0;2350.0;860.0;66.0;7.0;26.0;2.0;1490.0;99.0;1.0;;118.0;61.0;7.0;1.0;21.0;26.0;101.0;21.0;1.0;18.0;6.0;10.0;15.0;30.0;17.0
1;Maneges;2003;1190.0;210.0;176.0;;41.0;14.0;20.0;13.0;4.0;3.0;5.0;31.0;69.0;0.0;0.0;0.0;69.0;;;43.0;81.0;1570.0;2180.0;830.0;72.0;6.0;19.0;3.0;1350.0;97.0;3.0;;121.0;73.0;5.0;2.0;21.0;21.0;106.0;20.0;1.0;17.0;6.0;11.0;16.0;35.0;15.0
2;Maneges;2006;1460.0;234.0;160.0;;41.0;15.0;19.0;12.0;6.0;4.0;4.0;34.0;73.0;0.0;0.0;0.0;73.0;;;37.0;81.0;1860.0;2570.0;1020.0;70.0;7.0;22.0;1.0;1550.0;97.0;3.0;;165.0;106.0;8.0;2.0;31.0;17.0;139.0;28.0;1.0;24.0;7.0;15.0;19.0;42.0;26.0
3;Maneges;2009;1550.0;240.0;155.0;;39.0;18.0;17.0;12.0;5.0;3.0;5.0;36.0;70.0;0.0;0.0;0.0;70.0;;;34.0;83.0;1930.0;2570.0;1070.0;73.0;7.0;20.0;1.0;1500.0;95.0;5.0;;179.0;127.0;5.0;4.0;29.0;14.0;149.0;33.0;3.0;24.0;9.0;15.0;19.0;46.0;30.0
4;Maneges;2012;1450.0;227.0;157.0;;45.0;16.0;17.0;10.0;5.0;3.0;5.0;34.0;73.0;0.0;0.0;0.0;73.0;;;34.0;82.0;1800.0;2340.0;920.0;70.0;7.0;20.0;3.0;1420.0;95.0;5.0;;154.0;114.0;3.0;2.0;20.0;14.0;131.0;26.0;3.0;21.0;8.0;10.0;17.0;46.0;23.0
5;Maneges;2015;1420.0;209.0;147.0;88.0;44.0;19.0;15.0;12.0;5.0;2.0;4.0;33.0;67.0;0.0;0.0;1.0;67.0;57.0;50.0;38.0;86.0;2480.0;2800.0;1280.0;69.0;9.0;19.0;3.0;1520.0;92.0;8.0;40.0;181.0;136.0;7.0;2.0;22.0;15.0;160.0;39.0;4.0;26.0;9.0;12.0;22.0;49.0;21.0
6;Maneges;2018;1090.0;184.0;169.0;95.0;40.0;20.0;23.0;6.0;5.0;3.0;3.0;30.0;66.0;0.0;0.0;1.0;67.0;57.0;47.0;39.0;90.0;1930.0;2520.0;1050.0;76.0;8.0;15.0;1.0;1470.0;95.0;5.0;44.0;144.0;100.0;6.0;2.0;19.0;18.0;129.0;30.0;3.0;22.0;8.0;10.0;15.0;39.0;15.0
7;Maneges;2020;1040.0;174.0;184.0;111.0;45.0;16.0;16.0;12.0;4.0;2.0;4.0;29.0;67.0;0.0;0.0;1.0;67.0;56.0;50.0;41.0;89.0;1900.0;2220.0;960.0;76.0;9.0;12.0;4.0;1260.0;96.0;4.0;42.0;135.0;102.0;7.0;1.0;7.0;18.0;123.0;30.0;3.0;18.0;8.0;6.0;15.0;44.0;11.0
8;Maneges;2021;1050.0;126.0;121.0;73.0;45.0;21.0;15.0;9.0;5.0;2.0;2.0;22.0;57.0;1.0;0.0;0.0;56.0;45.0;38.0;33.0;92.0;1820.0;1790.0;940.0;78.0;7.0;14.0;1.0;850.0;97.0;3.0;33.0;122.0;89.0;8.0;1.0;5.0;19.0;99.0;24.0;4.0;14.0;6.0;3.0;13.0;35.0;26.0
9;Sportscholen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
