ID;Woonruimten;BewoningWoonruimte;RegioS;Perioden;BewoondeWoonruimte_1
0;Totaal;Totaal;Nederland;2015;7352355.0
1;Totaal;Totaal;Nederland;2016;7410380.0
2;Totaal;Totaal;Nederland;2017;7477110.0
3;Totaal;Totaal;Nederland;2018;7547005.0
4;Totaal;Totaal;Nederland;2019;7623660.0
5;Totaal;Totaal;Nederland;2020;7695335.0
6;Totaal;Totaal;Nederland;2021;7783010.0
7;Totaal;Totaal;Nederland;2022;7855160.0
8;Totaal;Totaal;Noord-Nederland (LD);2015;760165.0
9;Totaal;Totaal;Noord-Nederland (LD);2016;765935.0
10;Totaal;Totaal;Noord-Nederland (LD);2017;769850.0
11;Totaal;Totaal;Noord-Nederland (LD);2018;774855.0
12;Totaal;Totaal;Noord-Nederland (LD);2019;781815.0
13;Totaal;Totaal;Noord-Nederland (LD);2020;788400.0
14;Totaal;Totaal;Noord-Nederland (LD);2021;795240.0
15;Totaal;Totaal;Noord-Nederland (LD);2022;799880.0
16;Totaal;Totaal;Oost-Nederland (LD);2015;1493725.0
17;Totaal;Totaal;Oost-Nederland (LD);2016;1503745.0
18;Totaal;Totaal;Oost-Nederland (LD);2017;1518625.0
19;Totaal;Totaal;Oost-Nederland (LD);2018;1534940.0
20;Totaal;Totaal;Oost-Nederland (LD);2019;1552860.0
21;Totaal;Totaal;Oost-Nederland (LD);2020;1569695.0
22;Totaal;Totaal;Oost-Nederland (LD);2021;1587920.0
23;Totaal;Totaal;Oost-Nederland (LD);2022;1600950.0
24;Totaal;Totaal;West-Nederland (LD);2015;3534465.0
25;Totaal;Totaal;West-Nederland (LD);2016;3562700.0
26;Totaal;Totaal;West-Nederland (LD);2017;3595210.0
27;Totaal;Totaal;West-Nederland (LD);2018;3629110.0
28;Totaal;Totaal;West-Nederland (LD);2019;3666105.0
29;Totaal;Totaal;West-Nederland (LD);2020;3699790.0
30;Totaal;Totaal;West-Nederland (LD);2021;3744215.0
31;Totaal;Totaal;West-Nederland (LD);2022;3783785.0
32;Totaal;Totaal;Zuid-Nederland (LD);2015;1564005.0
33;Totaal;Totaal;Zuid-Nederland (LD);2016;1577995.0
34;Totaal;Totaal;Zuid-Nederland (LD);2017;1593425.0
35;Totaal;Totaal;Zuid-Nederland (LD);2018;1608100.0
36;Totaal;Totaal;Zuid-Nederland (LD);2019;1622880.0
37;Totaal;Totaal;Zuid-Nederland (LD);2020;1637445.0
38;Totaal;Totaal;Zuid-Nederland (LD);2021;1655630.0
39;Totaal;Totaal;Zuid-Nederland (LD);2022;1670540.0
40;Totaal;Totaal;Groningen (PV);2015;264850.0
41;Totaal;Totaal;Groningen (PV);2016;267160.0
42;Totaal;Totaal;Groningen (PV);2017;267605.0
43;Totaal;Totaal;Groningen (PV);2018;269565.0
44;Totaal;Totaal;Groningen (PV);2019;272150.0
45;Totaal;Totaal;Groningen (PV);2020;275080.0
46;Totaal;Totaal;Groningen (PV);2021;277490.0
47;Totaal;Totaal;Groningen (PV);2022;279345.0
48;Totaal;Totaal;Fryslân (PV);2015;283470.0
49;Totaal;Totaal;Fryslân (PV);2016;285360.0
50;Totaal;Totaal;Fryslân (PV);2017;287250.0
51;Totaal;Totaal;Fryslân (PV);2018;288980.0
52;Totaal;Totaal;Fryslân (PV);2019;291520.0
53;Totaal;Totaal;Fryslân (PV);2020;293590.0
54;Totaal;Totaal;Fryslân (PV);2021;296215.0
55;Totaal;Totaal;Fryslân (PV);2022;298015.0
56;Totaal;Totaal;Drenthe (PV);2015;211845.0
57;Totaal;Totaal;Drenthe (PV);2016;213415.0
58;Totaal;Totaal;Drenthe (PV);2017;214995.0
59;Totaal;Totaal;Drenthe (PV);2018;216315.0
60;Totaal;Totaal;Drenthe (PV);2019;218145.0
61;Totaal;Totaal;Drenthe (PV);2020;219730.0
62;Totaal;Totaal;Drenthe (PV);2021;221530.0
63;Totaal;Totaal;Drenthe (PV);2022;222520.0
64;Totaal;Totaal;Overijssel (PV);2015;477435.0
65;Totaal;Totaal;Overijssel (PV);2016;481595.0
66;Totaal;Totaal;Overijssel (PV);2017;485060.0
67;Totaal;Totaal;Overijssel (PV);2018;489850.0
68;Totaal;Totaal;Overijssel (PV);2019;495325.0
69;Totaal;Totaal;Overijssel (PV);2020;500180.0
70;Totaal;Totaal;Overijssel (PV);2021;504610.0
71;Totaal;Totaal;Overijssel (PV);2022;507830.0
72;Totaal;Totaal;Flevoland (PV);2015;159155.0
73;Totaal;Totaal;Flevoland (PV);2016;160955.0
74;Totaal;Totaal;Flevoland (PV);2017;162975.0
75;Totaal;Totaal;Flevoland (PV);2018;165525.0
76;Totaal;Totaal;Flevoland (PV);2019;168210.0
77;Totaal;Totaal;Flevoland (PV);2020;171165.0
78;Totaal;Totaal;Flevoland (PV);2021;174850.0
79;Totaal;Totaal;Flevoland (PV);2022;177790.0
80;Totaal;Totaal;Gelderland (PV);2015;857135.0
81;Totaal;Totaal;Gelderland (PV);2016;861195.0
82;Totaal;Totaal;Gelderland (PV);2017;870595.0
83;Totaal;Totaal;Gelderland (PV);2018;879565.0
84;Totaal;Totaal;Gelderland (PV);2019;889330.0
85;Totaal;Totaal;Gelderland (PV);2020;898350.0
86;Totaal;Totaal;Gelderland (PV);2021;908460.0
87;Totaal;Totaal;Gelderland (PV);2022;915330.0
88;Totaal;Totaal;Utrecht (PV);2015;530895.0
89;Totaal;Totaal;Utrecht (PV);2016;536720.0
90;Totaal;Totaal;Utrecht (PV);2017;540825.0
91;Totaal;Totaal;Utrecht (PV);2018;548145.0
92;Totaal;Totaal;Utrecht (PV);2019;569240.0
93;Totaal;Totaal;Utrecht (PV);2020;576350.0
94;Totaal;Totaal;Utrecht (PV);2021;583930.0
95;Totaal;Totaal;Utrecht (PV);2022;590565.0
