ID;EnergieverbruikersSBI2008;Perioden;TotaalNettoEnergieverbruik_1;Omzettingsverliezen_2;EnergetischFinaalVerbruik_3;NietEnergetischFinaalVerbruik_4;OverigeEnergieverliezen_5;TotaalBrutoEnergieverbruik_6;Winning_7;TotaalEnergieIngekocht_8;SteenkoolEnSteenkoolproducten_9;Aardoliegrondstoffen_10;MotorbrandstoffenVoorWegverkeer_11;OverigeAardolieproducten_12;OverigeEnergieproducten_13
0;Totaal Nederlandse economie;1995;3209;434;2315;441;19;9686;2764;6922;519;2708;412;1390;1892
1;Totaal Nederlandse economie;1996;3334;433;2465;415;20;10247;3095;7152;508;2754;413;1412;2065
2;Totaal Nederlandse economie;1997;3261;442;2358;444;18;9824;2765;7059;498;2735;425;1440;1962
3;Totaal Nederlandse economie;1998;3304;464;2385;437;18;9809;2638;7171;501;2794;431;1456;1989
4;Totaal Nederlandse economie;1999;3306;433;2393;462;18;9583;2463;7120;436;2652;454;1608;1969
5;Totaal Nederlandse economie;2000;3383;459;2410;495;19;9719;2376;7344;441;2676;456;1777;1994
6;Totaal Nederlandse economie;2001;3465;500;2445;498;22;10029;2538;7492;468;2688;459;1832;2044
7;Totaal Nederlandse economie;2002;3462;506;2443;495;17;9970;2501;7469;467;2511;462;1985;2044
8;Totaal Nederlandse economie;2003;3543;511;2474;541;17;10201;2415;7786;482;2607;466;2172;2058
9;Totaal Nederlandse economie;2004;3617;526;2503;571;17;10832;2817;8016;481;2708;472;2241;2113
10;Totaal Nederlandse economie;2005;3628;499;2466;645;18;10650;2588;8062;465;2730;475;2343;2049
11;Totaal Nederlandse economie;2006;3524;482;2443;582;17;10358;2544;7814;441;2669;478;2239;1986
12;Totaal Nederlandse economie;2007;3656;487;2439;710;19;9987;2535;7452;479;2617;488;1911;1957
13;Totaal Nederlandse economie;2008;3647;487;2479;661;20;9574;2771;6803;458;2581;493;1256;2015
14;Totaal Nederlandse economie;2009;3561;501;2401;641;18;9359;2619;6741;407;2527;484;1324;1999
15;Totaal Nederlandse economie;2010;3772;511;2527;717;18;9991;2893;7098;420;2643;477;1365;2192
16;Totaal Nederlandse economie;2011;3527;470;2375;664;19;9390;2641;6749;428;2553;479;1285;2004
17;Totaal Nederlandse economie;2012;3554;445;2420;670;18;9487;2639;6848;454;2546;470;1455;1923
18;Totaal Nederlandse economie;2013;3540;438;2424;660;18;9644;2824;6820;453;2453;459;1532;1924
19;A-U Alle economische activiteiten;1995;2501;434;1609;439;19;8979;2754;6225;519;2708;162;1382;1453
20;A-U Alle economische activiteiten;1996;2563;433;1697;412;20;9476;3085;6391;508;2754;163;1404;1562
21;A-U Alle economische activiteiten;1997;2552;442;1651;442;18;9115;2755;6360;498;2735;168;1434;1526
22;A-U Alle economische activiteiten;1998;2611;464;1694;435;18;9116;2628;6488;500;2794;174;1450;1569
23;A-U Alle economische activiteiten;1999;2609;433;1697;460;18;8885;2453;6432;436;2652;189;1603;1553
24;A-U Alle economische activiteiten;2000;2682;459;1711;493;19;9019;2365;6653;441;2676;190;1772;1575
25;A-U Alle economische activiteiten;2001;2750;500;1732;497;22;9314;2527;6787;468;2688;193;1827;1611
26;A-U Alle economische activiteiten;2002;2764;506;1746;494;17;9271;2491;6781;467;2511;195;1980;1628
27;A-U Alle economische activiteiten;2003;2835;511;1767;540;17;9493;2408;7085;482;2607;197;2167;1632
28;A-U Alle economische activiteiten;2004;2905;526;1792;569;17;10120;2807;7313;481;2708;199;2236;1689
29;A-U Alle economische activiteiten;2005;2930;499;1770;643;18;9952;2578;7375;465;2730;204;2337;1639
30;A-U Alle economische activiteiten;2006;2838;482;1760;580;17;9673;2533;7139;441;2669;207;2233;1589
31;A-U Alle economische activiteiten;2007;2992;487;1777;709;19;9323;2523;6800;479;2617;213;1906;1584
32;A-U Alle economische activiteiten;2008;2945;487;1779;659;20;8872;2759;6113;458;2581;217;1250;1606
33;A-U Alle economische activiteiten;2009;2860;501;1702;639;18;8659;2606;6052;406;2527;210;1318;1591
34;A-U Alle economische activiteiten;2010;3018;511;1774;715;18;9237;2881;6357;420;2643;204;1359;1730
35;A-U Alle economische activiteiten;2011;2845;470;1695;662;19;8708;2629;6079;428;2553;204;1280;1615
36;A-U Alle economische activiteiten;2012;2853;445;1720;669;18;8786;2626;6160;454;2546;200;1450;1510
37;A-U Alle economische activiteiten;2013;2826;438;1710;659;18;8929;2811;6119;453;2453;197;1527;1489
38;A Landbouw, bosbouw en visserij;1995;192;2;190;0;0;193;0;193;0;0;1;33;158
