ID;CPIMetOnderliggendeReeksen;Perioden;Prijsindices_1;Inflatie_2
0;CPI alle huishoudens;2006 januari;98.68;
1;CPI alle huishoudens;2006 februari;99.06;
2;CPI alle huishoudens;2006 maart;99.84;
3;CPI alle huishoudens;2006 april;100.3;
4;CPI alle huishoudens;2006 mei;100.38;
5;CPI alle huishoudens;2006 juni;100.02;
6;CPI alle huishoudens;2006 juli;99.83;
7;CPI alle huishoudens;2006 augustus;100.36;
8;CPI alle huishoudens;2006 september;100.74;
9;CPI alle huishoudens;2006 oktober;100.49;
10;CPI alle huishoudens;2006 november;100.33;
11;CPI alle huishoudens;2006 december;99.96;
12;CPI alle huishoudens;2007 januari;100.08;1.4
13;CPI alle huishoudens;2007 februari;100.54;1.5
14;CPI alle huishoudens;2007 maart;101.63;1.8
15;CPI alle huishoudens;2007 april;102.12;1.8
16;CPI alle huishoudens;2007 mei;102.19;1.8
17;CPI alle huishoudens;2007 juni;101.77;1.7
18;CPI alle huishoudens;2007 juli;101.29;1.5
19;CPI alle huishoudens;2007 augustus;101.47;1.1
20;CPI alle huishoudens;2007 september;102.07;1.3
21;CPI alle huishoudens;2007 oktober;102.11;1.6
22;CPI alle huishoudens;2007 november;102.26;1.9
23;CPI alle huishoudens;2007 december;101.83;1.9
24;CPI alle huishoudens;2008 januari;102.11;2.0
25;CPI alle huishoudens;2008 februari;102.8;2.2
26;CPI alle huishoudens;2008 maart;103.82;2.2
27;CPI alle huishoudens;2008 april;104.2;2.0
28;CPI alle huishoudens;2008 mei;104.57;2.3
29;CPI alle huishoudens;2008 juni;104.38;2.6
30;CPI alle huishoudens;2008 juli;104.54;3.2
31;CPI alle huishoudens;2008 augustus;104.74;3.2
32;CPI alle huishoudens;2008 september;105.19;3.1
33;CPI alle huishoudens;2008 oktober;104.95;2.8
34;CPI alle huishoudens;2008 november;104.57;2.3
35;CPI alle huishoudens;2008 december;103.81;1.9
36;CPI alle huishoudens;2009 januari;104.08;1.9
37;CPI alle huishoudens;2009 februari;104.81;2.0
38;CPI alle huishoudens;2009 maart;105.86;2.0
39;CPI alle huishoudens;2009 april;106.1;1.8
40;CPI alle huishoudens;2009 mei;106.24;1.6
41;CPI alle huishoudens;2009 juni;105.87;1.4
42;CPI alle huishoudens;2009 juli;104.74;0.2
43;CPI alle huishoudens;2009 augustus;105.03;0.3
44;CPI alle huishoudens;2009 september;105.59;0.4
45;CPI alle huishoudens;2009 oktober;105.69;0.7
46;CPI alle huishoudens;2009 november;105.58;1.0
47;CPI alle huishoudens;2009 december;104.96;1.1
48;CPI alle huishoudens;2010 januari;104.93;0.8
49;CPI alle huishoudens;2010 februari;105.68;0.8
50;CPI alle huishoudens;2010 maart;106.93;1.0
51;CPI alle huishoudens;2010 april;107.29;1.1
52;CPI alle huishoudens;2010 mei;107.25;1.0
53;CPI alle huishoudens;2010 juni;106.74;0.8
54;CPI alle huishoudens;2010 juli;106.44;1.6
55;CPI alle huishoudens;2010 augustus;106.6;1.5
56;CPI alle huishoudens;2010 september;107.26;1.6
57;CPI alle huishoudens;2010 oktober;107.35;1.6
58;CPI alle huishoudens;2010 november;107.22;1.6
59;CPI alle huishoudens;2010 december;106.99;1.9
60;CPI alle huishoudens;2011 januari voor herberekening;107.0;2.0
61;CPI alle huishoudens;2011 februari voor herberekening;107.74;1.9
62;CPI alle huishoudens;2011 maart voor herberekening;109.02;2.0
63;CPI alle huishoudens;2011 april voor herberekening;109.54;2.1
64;CPI alle huishoudens;2011 mei voor herberekening;109.71;2.3
65;CPI alle huishoudens;2011 juni voor herberekening;109.18;2.3
66;CPI alle huishoudens;2011 juli voor herberekening;109.23;2.6
67;CPI alle huishoudens;2011 augustus voor herberekening;109.38;2.6
68;CPI alle huishoudens;2011 september voor herberekening;110.17;2.7
69;CPI alle huishoudens;2011 oktober voor herberekening;110.15;2.6
70;CPI alle huishoudens;2011 november voor herberekening;110.01;2.6
71;CPI alle huishoudens;2011 december voor herberekening;109.54;2.4
72;CPI alle huishoudens;2011 januari na herberekening;106.87;
73;CPI alle huishoudens;2011 februari na herberekening;107.68;
74;CPI alle huishoudens;2011 maart na herberekening;108.9;
75;CPI alle huishoudens;2011 april na herberekening;109.48;
76;CPI alle huishoudens;2011 mei na herberekening;109.57;
77;CPI alle huishoudens;2011 juni na herberekening;109.03;
78;CPI alle huishoudens;2011 juli na herberekening;109.58;
79;CPI alle huishoudens;2011 augustus na herberekening;109.76;
80;CPI alle huishoudens;2011 september na herberekening;110.15;
81;CPI alle huishoudens;2011 oktober na herberekening;110.2;
82;CPI alle huishoudens;2011 november na herberekening;109.86;
83;CPI alle huishoudens;2011 december na herberekening;109.58;
84;CPI alle huishoudens;2012 januari;109.52;2.5
85;CPI alle huishoudens;2012 februari;110.35;2.5
86;CPI alle huishoudens;2012 maart;111.61;2.5
87;CPI alle huishoudens;2012 april;112.06;2.4
88;CPI alle huishoudens;2012 mei;111.9;2.1
89;CPI alle huishoudens;2012 juni;111.36;2.1
90;CPI alle huishoudens;2012 juli;112.09;2.3
91;CPI alle huishoudens;2012 augustus;112.24;2.3
92;CPI alle huishoudens;2012 september;112.7;2.3
93;CPI alle huishoudens;2012 oktober;113.36;2.9
94;CPI alle huishoudens;2012 november;112.9;2.8
95;CPI alle huishoudens;2012 december;112.74;2.9
96;CPI alle huishoudens;2013 januari;112.77;3.0
97;CPI alle huishoudens;2013 februari;113.66;3.0
98;CPI alle huishoudens;2013 maart;114.87;2.9
99;CPI alle huishoudens;2013 april;114.97;2.6
100;CPI alle huishoudens;2013 mei;115.0;2.8
101;CPI alle huishoudens;2013 juni;114.57;2.9
102;CPI alle huishoudens;2013 juli;115.54;3.1
103;CPI alle huishoudens;2013 augustus;115.39;2.8
104;CPI alle huishoudens;2013 september;115.46;2.4
105;CPI alle huishoudens;2013 oktober;115.13;1.6
106;CPI alle huishoudens;2013 november;114.56;1.5
107;CPI alle huishoudens;2013 december;114.62;1.7
108;CPI alle huishoudens;2014 januari;114.37;1.4
109;CPI alle huishoudens;2014 februari;114.86;1.1
110;CPI alle huishoudens;2014 maart;115.82;0.8
111;CPI alle huishoudens;2014 april;116.35;1.2
112;CPI alle huishoudens;2014 mei;115.95;0.8
113;CPI alle huishoudens;2014 juni;115.64;0.9
114;CPI alle huishoudens;2014 juli;116.58;0.9
115;CPI alle huishoudens;2014 augustus;116.5;1.0
116;CPI alle huishoudens;2014 september;116.48;0.9
117;CPI alle huishoudens;2014 oktober;116.34;1.1
118;CPI alle huishoudens;2014 november;115.65;1.0
119;CPI alle huishoudens;2014 december;115.42;0.7
120;CPI alle huishoudens;2015 januari;114.42;0.0
121;CPI alle huishoudens;2015 februari;115.04;0.2
122;CPI alle huishoudens;2015 maart;116.26;0.4
123;CPI alle huishoudens;2015 april;117.01;0.6
124;CPI alle huishoudens;2015 mei;117.26;1.1
125;CPI alle huishoudens;2015 juni;116.81;1.0
126;CPI alle huishoudens;2015 juli;117.77;1.0
127;CPI alle huishoudens;2015 augustus;117.4;0.8
128;CPI alle huishoudens;2015 september;117.18;0.6
129;CPI alle huishoudens;2015 oktober;117.07;0.6
130;CPI alle huishoudens;2015 november;116.42;0.7
131;CPI alle huishoudens;2015 december;116.28;0.7
132;CPI alle huishoudens afgeleid;2006 januari;98.71;
133;CPI alle huishoudens afgeleid;2006 februari;99.09;
134;CPI alle huishoudens afgeleid;2006 maart;99.87;
135;CPI alle huishoudens afgeleid;2006 april;100.32;
136;CPI alle huishoudens afgeleid;2006 mei;100.39;
137;CPI alle huishoudens afgeleid;2006 juni;100.02;
138;CPI alle huishoudens afgeleid;2006 juli;99.85;
139;CPI alle huishoudens afgeleid;2006 augustus;100.33;
140;CPI alle huishoudens afgeleid;2006 september;100.72;
141;CPI alle huishoudens afgeleid;2006 oktober;100.47;
142;CPI alle huishoudens afgeleid;2006 november;100.3;
143;CPI alle huishoudens afgeleid;2006 december;99.94;
144;CPI alle huishoudens afgeleid;2007 januari;99.94;1.2
145;CPI alle huishoudens afgeleid;2007 februari;100.41;1.3
146;CPI alle huishoudens afgeleid;2007 maart;101.49;1.6
147;CPI alle huishoudens afgeleid;2007 april;101.96;1.6
148;CPI alle huishoudens afgeleid;2007 mei;102.04;1.6
149;CPI alle huishoudens afgeleid;2007 juni;101.62;1.6
150;CPI alle huishoudens afgeleid;2007 juli;101.14;1.3
151;CPI alle huishoudens afgeleid;2007 augustus;101.32;1.0
152;CPI alle huishoudens afgeleid;2007 september;101.92;1.2
153;CPI alle huishoudens afgeleid;2007 oktober;101.96;1.5
154;CPI alle huishoudens afgeleid;2007 november;102.11;1.8
155;CPI alle huishoudens afgeleid;2007 december;101.68;1.7
156;CPI alle huishoudens afgeleid;2008 januari;101.85;1.9
157;CPI alle huishoudens afgeleid;2008 februari;102.51;2.1
158;CPI alle huishoudens afgeleid;2008 maart;103.51;2.0
159;CPI alle huishoudens afgeleid;2008 april;103.86;1.9
160;CPI alle huishoudens afgeleid;2008 mei;104.23;2.1
161;CPI alle huishoudens afgeleid;2008 juni;104.03;2.4
162;CPI alle huishoudens afgeleid;2008 juli;104.13;3.0
163;CPI alle huishoudens afgeleid;2008 augustus;104.34;3.0
164;CPI alle huishoudens afgeleid;2008 september;104.79;2.8
165;CPI alle huishoudens afgeleid;2008 oktober;104.54;2.5
