ID;GovernmentSectors;Periods;Vacancies_1;NewVacancies_2;FilledVacancies_3;Vacancies_4;NewVacancies_5;FilledVacancies_6
0;Total of public sector;1992 4th quarter;;;;;;
1;Total of public sector;1993 1st quarter;;;;;;
2;Total of public sector;1993 2nd quarter;;;;;;
3;Total of public sector;1993 3rd quarter;;;;;;
4;Total of public sector;1993 4th quarter;;;;;;
5;Total of public sector;1993 annual figure;;;;;;
6;Total of public sector;1994 1st quarter;;;;;;
7;Total of public sector;1994 2nd quarter;;;;;;
8;Total of public sector;1994 3rd quarter;;;;;;
9;Total of public sector;1994 4th quarter;;;;;;
10;Total of public sector;1994 annual figure;;;;;;
11;Total of public sector;1995 1st quarter;;;;;;
12;Total of public sector;1995 2nd quarter;;;;;;
13;Total of public sector;1995 3rd quarter;;;;;;
14;Total of public sector;1995 4th quarter;;;;;;
15;Total of public sector;1995 annual figure;;;;;;
16;Total of public sector;1996 1st quarter;;;;;;
17;Total of public sector;1996 2nd quarter;;;;;;
18;Total of public sector;1996 3rd quarter;;;;;;
19;Total of public sector;1996 4th quarter;;;;8.2;;
20;Total of public sector;1996 annual figure;;;;;;
21;Total of public sector;1997 1st quarter;;;;8.8;;
22;Total of public sector;1997 2nd quarter;;;;10.5;;
23;Total of public sector;1997 3rd quarter;;;;9.4;;
24;Total of public sector;1997 4th quarter;;;;9.8;;
25;Total of public sector;1997 annual figure;;;;9.5;;
26;Total of public sector;1998 1st quarter;;;;10.7;15.2;14.3
27;Total of public sector;1998 2nd quarter;;;;12.9;15.4;13.3
28;Total of public sector;1998 3rd quarter;;;;11.3;19.6;21.3
29;Total of public sector;1998 4th quarter;;;;12.2;14.0;13.1
30;Total of public sector;1998 annual figure;;;;11.5;64.2;61.7
31;Total of public sector;1999 1st quarter;;;;12.4;16.6;16.4
32;Total of public sector;1999 2nd quarter;;;;15.2;18.0;15.2
33;Total of public sector;1999 3rd quarter;;;;13.1;19.8;21.8
34;Total of public sector;1999 4th quarter;;;;15.6;15.3;12.9
35;Total of public sector;1999 annual figure;;;;13.6;69.7;66.2
36;Total of public sector;2000 1st quarter;;;;14.8;16.1;16.9
37;Total of public sector;2000 2nd quarter;;;;16.6;18.1;16.3
38;Total of public sector;2000 3rd quarter;;;;14.0;21.5;24.1
39;Total of public sector;2000 4th quarter;;;;15.4;17.2;15.8
40;Total of public sector;2000 annual figure;;;;15.2;72.8;73.1
41;Total of public sector;2001 1st quarter;;;;15.0;17.6;17.9
42;Total of public sector;2001 2nd quarter;;;;16.4;20.4;19.0
43;Total of public sector;2001 3rd quarter;;;;14.7;20.4;22.1
44;Total of public sector;2001 4th quarter;;;;16.0;17.2;15.8
45;Total of public sector;2001 annual figure;;;;15.5;75.5;74.8
46;Total of public sector;2002 1st quarter;;;;15.1;17.0;18.0
47;Total of public sector;2002 2nd quarter;;;;15.9;18.0;17.0
48;Total of public sector;2002 3rd quarter;;;;11.8;18.9;23.0
49;Total of public sector;2002 4th quarter;;;;12.9;12.9;11.7
