ID;Perioden;RechtshulpTotaal_1;Advocaat_2;BureauVoorRechtshulp_3;SemiParticuliereOrganisatie_4;Notaris_5;Werk_6;Uitkering_7;Huurhuis_8;EigenHuis_9;Verbintenissen_10;Familiezaken_11;OndervondenDelicten_12;OverigeRedenen_13
0;1992;24.1;5.4;5.4;7.0;13.5;2.5;0.8;2.1;5.3;2.9;7.2;0.2;6.7
1;1993;26.1;5.9;6.4;8.6;13.9;3.1;1.2;2.5;6.5;2.8;6.9;0.3;7.4
2;1994;27.4;5.1;5.7;7.8;15.1;3.6;1.1;2.4;6.7;2.5;7.0;0.2;7.0
3;1995;26.7;6.0;4.9;6.4;17.2;3.7;0.9;1.7;8.4;1.6;6.9;0.1;7.6
4;1996;27.9;5.2;4.8;8.0;16.5;3.5;1.3;2.0;8.4;2.3;6.2;0.2;7.5
5;1997;29.1;5.5;5.2;8.4;17.0;3.4;1.4;2.1;9.1;2.4;5.9;0.1;8.6
6;1998;30.9;5.8;5.7;9.3;18.3;4.0;1.2;2.1;11.1;2.1;5.8;0.4;8.8
7;1999;32.9;5.9;5.9;9.5;20.8;3.9;1.2;2.1;12.7;2.5;6.2;0.3;9.0
8;2000;31.3;6.0;5.3;9.1;19.4;4.0;1.0;2.0;11.6;2.5;6.2;0.2;8.8
9;2001;29.2;5.9;5.3;9.0;16.9;4.0;1.0;1.7;9.9;2.2;6.0;0.3;8.5
10;2002;30.0;6.2;5.4;10.4;16.9;4.0;1.1;1.7;10.1;2.8;6.1;0.2;8.8
11;2003;31.0;6.3;5.4;10.6;17.6;4.4;1.1;1.3;10.9;2.5;6.1;0.2;9.2
12;2004;30.2;6.6;4.7;9.6;17.6;4.5;1.1;1.4;11.0;2.0;6.0;0.2;8.8
